"Numer umowy/decyzji";"Tytuł projektu";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Cały kraj/ Województwo";"Powiat";"Gmina";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"POIG.03.01.00-00-014/08-06";"Kapitał na innowacje";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.01.00";"";"Małopolskie";"";"";"2,069,801.18";"2,069,801.18";"2,069,801.18";"1,759,331.01";"Małopolska Agencja Rozwoju Regionalnego S.A.";"6760058847";"31-542";"Kraków";"Małopolskie";"Powiat m. Kraków";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka akcyjna - duże przedsiębiorstwo";"00 Nie dotyczy";"POIG.03.01.00-00-014/08-08";"Nie";"2011/03/03";"2011/04/08"
"POIG.03.01.00-00-014/08-06";"Kapitał na innowacje";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.01.00";"";"Podkarpackie";"";"";"2,069,801.18";"2,069,801.18";"2,069,801.18";"1,759,331.01";"Małopolska Agencja Rozwoju Regionalnego S.A.";"6760058847";"31-542";"Kraków";"Małopolskie";"Powiat m. Kraków";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka akcyjna - duże przedsiębiorstwo";"00 Nie dotyczy";"POIG.03.01.00-00-014/08-08";"Nie";"2011/03/03";"2011/04/08"
"POIG.03.01.00-00-014/08-06";"Kapitał na innowacje";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.01.00";"";"Śląskie";"";"";"2,069,801.18";"2,069,801.18";"2,069,801.18";"1,759,331.01";"Małopolska Agencja Rozwoju Regionalnego S.A.";"6760058847";"31-542";"Kraków";"Małopolskie";"Powiat m. Kraków";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka akcyjna - duże przedsiębiorstwo";"00 Nie dotyczy";"POIG.03.01.00-00-014/08-08";"Nie";"2011/03/03";"2011/04/08"
"POIG.03.01.00-00-014/08-06";"Kapitał na innowacje";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.01.00";"";"Świętokrzyskie";"";"";"2,069,801.18";"2,069,801.18";"2,069,801.18";"1,759,331.01";"Małopolska Agencja Rozwoju Regionalnego S.A.";"6760058847";"31-542";"Kraków";"Małopolskie";"Powiat m. Kraków";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka akcyjna - duże przedsiębiorstwo";"00 Nie dotyczy";"POIG.03.01.00-00-014/08-08";"Nie";"2011/03/03";"2011/04/08"
"POIG.03.03.01-00-867/08-04";"Sieć Aniołów Biznesu „Amber” w Polsce Północno-Zachodniej";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.03.00";"POIG.03.03.01";"Dolnośląskie";"";"";"504,572.29";"504,572.29";"504,572.29";"428,886.45";"Polska Fundacja Przedsiębiorczości ";"8512242911";"71-295";"Szczecin";"Zachodniopomorskie";"Powiat m. Szczecin";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"fundacja";"00 Nie dotyczy";"";"";"2011/04/01";"2011/05/11"
"POIG.03.03.01-00-867/08-04";"Sieć Aniołów Biznesu „Amber” w Polsce Północno-Zachodniej";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.03.00";"POIG.03.03.01";"Kujawsko-pomorskie";"";"";"504,572.29";"504,572.29";"504,572.29";"428,886.45";"Polska Fundacja Przedsiębiorczości ";"8512242911";"71-295";"Szczecin";"Zachodniopomorskie";"Powiat m. Szczecin";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"fundacja";"00 Nie dotyczy";"";"";"2011/04/01";"2011/05/11"
"POIG.03.03.01-00-867/08-04";"Sieć Aniołów Biznesu „Amber” w Polsce Północno-Zachodniej";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.03.00";"POIG.03.03.01";"Lubuskie";"";"";"504,572.29";"504,572.29";"504,572.29";"428,886.45";"Polska Fundacja Przedsiębiorczości ";"8512242911";"71-295";"Szczecin";"Zachodniopomorskie";"Powiat m. Szczecin";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"fundacja";"00 Nie dotyczy";"";"";"2011/04/01";"2011/05/11"
"POIG.03.03.01-00-867/08-04";"Sieć Aniołów Biznesu „Amber” w Polsce Północno-Zachodniej";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.03.00";"POIG.03.03.01";"Pomorskie";"";"";"504,572.29";"504,572.29";"504,572.29";"428,886.45";"Polska Fundacja Przedsiębiorczości ";"8512242911";"71-295";"Szczecin";"Zachodniopomorskie";"Powiat m. Szczecin";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"fundacja";"00 Nie dotyczy";"";"";"2011/04/01";"2011/05/11"
"POIG.03.03.01-00-867/08-04";"Sieć Aniołów Biznesu „Amber” w Polsce Północno-Zachodniej";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.03.00";"POIG.03.03.01";"Wielkopolskie";"";"";"504,572.29";"504,572.29";"504,572.29";"428,886.45";"Polska Fundacja Przedsiębiorczości ";"8512242911";"71-295";"Szczecin";"Zachodniopomorskie";"Powiat m. Szczecin";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"fundacja";"00 Nie dotyczy";"";"";"2011/04/01";"2011/05/11"
"POIG.03.03.01-00-867/08-04";"Sieć Aniołów Biznesu „Amber” w Polsce Północno-Zachodniej";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.03.00";"POIG.03.03.01";"Zachodniopomorskie";"";"";"504,572.29";"504,572.29";"504,572.29";"428,886.45";"Polska Fundacja Przedsiębiorczości ";"8512242911";"71-295";"Szczecin";"Zachodniopomorskie";"Powiat m. Szczecin";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"fundacja";"00 Nie dotyczy";"";"";"2011/04/01";"2011/05/11"
"POIS.02.01.00-00-007/10-00";"System zagospodarowania odpadów komunalnych w Olsztynie. Budowa Zakładu Unieszkodliwiania Odpadów.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.02.00.00";"POIS.02.01.00";"";"Warmińsko-mazurskie";"";"";"284,983,183.05";"191,499,946.02";"162,774,954.11";"162,774,954.11";"Zakład Gospodarki Odpadami Komunalnymi Sp. z o.o.";"7392954369";"10-410";"Olsztyn";"Warmińsko-mazurskie";"Powiat m. Olsztyn";"44 Gospodarka odpadami komunalnymi i przemysłowymi";"spółka z ograniczoną odpowiedzialnością - duże przedsiębiorstwo";"00 Nie dotyczy";"";"";"2011/04/27";"2011/04/28"
"POIS.05.01.00-00-041/08-03";"Wsparcie restytucji i ochrony ssaków bałtyckich w Polsce ";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Pomorskie";"";"";"3,136,512.50";"2,705,452.37";"2,299,634.51";"2,299,634.51";"WWF Polska Światowy Fundusz Na Rzecz Przyrody";"5213241055";"02-520";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"fundacja";"00 Nie dotyczy";"POIS.05.01.00-00-041/08-06";"Nie";"2011/01/27";"2011/01/28"
"POIS.05.01.00-00-041/08-03";"Wsparcie restytucji i ochrony ssaków bałtyckich w Polsce ";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Zachodniopomorskie";"";"";"3,136,512.50";"2,705,452.37";"2,299,634.51";"2,299,634.51";"WWF Polska Światowy Fundusz Na Rzecz Przyrody";"5213241055";"02-520";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"fundacja";"00 Nie dotyczy";"POIS.05.01.00-00-041/08-06";"Nie";"2011/01/27";"2011/01/28"
