"type";"Nazwa Programów Operacyjnych";"Część";"Wydatki  budŜetu
środków europejskich*)"
"Program";"Program Operacyjny Infrastruktura i Środowisko";"20 ";"300000 "
;;"21 ";"163199 "
;;"22 ";"146326 "
;;"24 ";"400000 "
;;"34 ";
;;"38 ";"264006 "
;;"39 ";"7556350 "
;;"41 ";"2849541 "
;;"42 ";"7906 "
;;"46 ";"377548 "
;;"85/06";"1870 "
;;"85/18";"12446 "
;;"85/22";"14558 "
"Program";"Ogółem";;"12093750 "
"Program";"Program Operacyjny Innowacyjna Gospodarka";"17 ";"58749 "
;;"19 ";"56109 "
;;"20 ";"1232813 "
;;"22 ";"10742 "
;;"26 ";"191 "
;;"27 ";"226361 "
;;"28 ";"750700 "
;;"34 ";"52437 "
;;"37 ";"14014 "
;;"41 ";"2758 "
;;"42 ";"141963 "
;;"44 ";"3996 "
;;"46 ";"20459 "
;;"58 ";"30906 "
;;"76 ";"14389 "
"Program";"Ogółem";;"2616587 "
"Program";"Program Operacyjny Kapitał Ludzki";"16 ";"27062 "
;;"17 ";"123733 "
;;"19 ";"18959 "
;;"20 ";"7892 "
;;"28 ";"12281 "
;;"30 ";"342590 "
;;"31 ";"889510 "
;;"32 ";"1510 "
;;"34 ";"2687859 "
;;"37 ";"39296 "
;;"38 ";"356795 "
;;"42 ";"3815 "
;;"43 ";"9180 "
;;"44 ";"36253 "
;;"46 ";"41296 "
;;"49 ";"454 "
;;"75 ";"354 "
;;"80 ";"500 "
;;"85/04";"83 "
;;"85/06";"51 "
;;"85/18";
;;"85/24";
;;"85/26";"310 "
;;"85/28";"153 "
;;"85/30";"300 "
;;"85/32";"1437 "
;"Samorządowe kolegia odwoławcze ogółem";86;247
"Program";"Ogółem";;"4601920 "
"Program";"Program Operacyjny Pomoc Techniczna 2007-2013";"16 ";
;;"17 ";
;;"19 ";
;;"20 ";
;;"21 ";
;;"24 ";
;;"27 ";
;;"28 ";
;;"30 ";
;;"31 ";
;;"34 ";
;;"38 ";
;;"39 ";
;;"41 ";
;;"46 ";
;;"49 ";
;;"53 ";
;;"85/02";
;;"85/04";
;;"85/06";
;;"85/08";
;;"85/10";
;;"85/12";
;;"85/14";
;;"85/16";
;;"85/18";
;;"85/20";
;;"85/22";
;;"85/24";
;;"85/26";
;;"85/28";
;;"85/30";
;;"85/32";
"Program";"Ogółem";;
"Program";"Program Operacyjny Rozwój Polski Wschodniej";"34 ";"1224676 "
;;"46 ";
"Program";"Ogółem";;"1224676 "
"Program";"Regionalny Program Operacyjny dla Województwa Dolnośląskiego
2007-2013";"22 ";"14417 "
;;"24 ";
;;"34 ";"562439 "
;;"38 ";
;;"42 ";"18411 "
;;"85/02";"255 "
"Program";"Ogółem";;"595522 "
"Program";"Regionalny Program Operacyjny Województwa Kujawsko- Pomorskiego na lata 2007-2013";"34 ";"415605 "
;;"42 ";"590 "
;;"85/04";"5302 "
"Program";"Ogółem";;"421497 "
"Program";"Regionalny Program Operacyjny Województwa Lubelskiego na lata
2007-2013";"34 ";"463715 "
;;"85/06";"10681 "
"Program";"Ogółem";;"474396 "
"Program";"Lubuski Regionalny Program Operacyjny na lata 2007-2013";"31 ";"1476 "
;;"34 ";"180238 "
;;"42 ";"3198 "
"Program";"Ogółem";;"184912 "
"Program";"Regionalny Program Operacyjny Województwa Łódzkiego na lata
2007-2013";"24 ";
;;"34 ";"462307 "
;;"42 ";"3379 "
"Program";"Ogółem";;"465686 "
"Program";"Małopolski Regionalny Program Operacyjny na lata 2007 - 2013";"32 ";"2000 "
;;"34 ";"613611 "
;;"38 ";
;;"42 ";"14050 "
;;"46 ";
"Program";"Ogółem";;"629661 "
"Program";"Regionalny Program Operacyjny Województwa Mazowieckiego na lata 2007-2013";"22 ";"765 "
;;"24 ";
;;"31 ";"7820 "
;;"32 ";"7225 "
;;"34 ";"726741 "
;;"85/14";"5984 "
"Program";"Ogółem";;"748535 "
"Program";"Regionalny Program Operacyjny Województwa Opolskiego na lata
2007 - 2013";"34 ";"236747 "
"Program";"Ogółem";;"236747 "
"Program";"Regionalny Program Operacyjny Województwa Podkarpackiego na lata 2007-2013";"34 ";"624719 "
;;"38 ";
;;"85/18";"3751 "
"Program";"Ogółem";;"628470 "
"Program";"Regionalny Program Operacyjny Województwa Podlaskiego na lata
2007-2013";"32 ";"4286 "
;;"34 ";"287276 "
;;"41 ";"748 "
;;"85/20";"6296 "
"Program";"Ogółem";;"298606 "
"Program";"Regionalny Program Operacyjny dla Województwa Pomorskiego na lata 2007-2013";"24 ";
;;"34 ";"383310 "
;;"41 ";"329 "
;;"42 ";"8925 "
;;"85/22";"17982 "
"Program";"Ogółem";;"410546 "
"Program";"Regionalny Program Operacyjny Województwa  Śląskiego na lata
2007-2013";"24 ";
;;"34 ";"820149 "
;;"38 ";
;;"85/24";"2798 "
"Program";"Ogółem";;"822947 "
"Program";"Regionalny Program Operacyjny Województwa Świętokrzyskiego na lata 2007 - 2013";"22 ";"1168 "
;;"34 ";"350000 "
"Program";"Ogółem";;"351168 "
"Program";"Regionalny Program Operacyjny Warmia i Mazury na lata 2007 -
2013";"32 ";"1832 "
;;"34 ";"509548 "
;;"42 ";"2015 "
"Program";"Ogółem";;"513395 "
"Program";"Wielkopolski Regionalny Program Operacyjny na lata 2007 - 2013";"22 ";"1429 "
;;"34 ";"618489 "
;;"38 ";
"Program";"Ogółem";;"619918 "
