"numer";"funkcja_zadanie";"podzadanie";"dysponent";"czesc";"cel";"miernik_nazwa";"miernik_wartosc_bazowa";"miernik_wartosc_rok_obec";"ogolem";"budzet_panstwa";"budzet_srodkow_europejskich"
9999;"Ogółem";;;;;;;;397504708;313500662;84004046
"1";"FUNKCJA 1. ZARZĄDZANIE PAŃSTWEM";;;;;;;;1561521;1536381;25140
"1.1";"1.1. Obsługa merytoryczna i kancelaryjno-biurowa Prezydenta Rzeczypospolitej Polskiej";;"Kancelaria Prezydenta RP";"01";"Zapewnienie sprawnej i efektywnej obsługi Prezydenta Rzeczypospolitej Polskiej";"Racjonalne wykorzystanie środków budżetowych";"98,4%";"99,9%";151833;151833;0
"1.1.1";;"1.1.1. Obsługa i koordynacja urzędu Prezydenta RP";"Kancelaria Prezydenta RP";"01";"Zapewnienie realizacji zadań konstytucyjnych i ustawowych Prezydenta Rzeczypospolitej Polskiej";"Racjonalne wykorzystanie środków budżetowych";"98,4%";"99,9%";130148;130148;0
"1.1.2";;"1.1.2. Obsługa prawna urzędu Prezydenta RP";"Kancelaria Prezydenta RP";"01";"Zapewnienie realizacji obsługi prawnej Prezydenta Rzeczypospolitej Polskiej";"Racjonalne wykorzystanie środków budżetowych";"98,4%";"99,9%";4960;4960;0
"1.1.3";;"1.1.3. Obsługa merytoryczna Biura Bezpieczeństwa Narodowego";"Kancelaria Prezydenta RP";"01";"Zapewnienie sprawnego działania i realizacji zadań przez Biuro Bezpieczeństwa Narodowego";"Racjonalne wykorzystanie środków budżetowych";"98,4%";"99,9%";16725;16725;0
"1.2";"1.2. Obsługa Parlamentu i jego organów w zakresie merytorycznym i organizacyjnym";;"Kancelaria Sejmu";"02";"Wsparcie Sejmu i jego organów w realizacji zadań, zapewnienie sprawnej i efektywnej obsługi ich działalności, zapewnienie posłom warunków niezbędnych do skutecznej realizacji obowiązków oraz ochrony praw wynikających ze sprawowania mandatu";"Ankieta badająca poziom zadowolenia posłów z działań podejmowanych przez Kancelarię Sejmu";"4,2";"4,2";380176;380176;0
"1.2";;;"Kancelaria Senatu";"03";"Kancelaria Senatu: Wsparcie w realizacji zadań senatu i jego organów oraz zapewnienie warunków wykonywania mandatu senatora";"Ocena sprawności i efektywności obsługi Kancelarii Senatu dokonana przez senatorów  ( skala 1-4, gdzie 1 - ocena zła, 4 - ocena bardzo dobra)";"3,75";"> 3,77";64909;64909;0
"1.2.1";;"1.2.1. Wsparcie merytoryczne parlamentarzystów";"Kancelaria Sejmu";"02";"Zapewnienie dostępu do wiedzy, analiz i ekspertyz niezbędnych w pracy parlamentarzystów";"Ankieta badająca poziom zadowolenia posłów z działań podejmowanych przez Kancelarię Sejmu";"4,2";"4,2";50426;50426;0
"1.2.1";;;"Kancelaria Senatu";"03";"Zapewnianie dostępu do wiedzy, analiz i ekspertyz niezbędnych w pracy parlamentarzystów";"Ocena wsparcia merytorycznego ze strony  Kancelarii Senatu dokonana przez senatorów (skala 1-4, gdzie 1 - ocena zła, 4 - ocena bardzo dobra)";"3,76";"> 3,77";12389;12389;0
"1.2.2";;"1.2.2. Zapewnianie warunków wykonywania mandatu posła i senatora";"Kancelaria Sejmu";"02";"Zapewnienie sprawnej obsługi parlamentarzystów, warunków niezbędnych do skutecznej realizacji obowiązków oraz ochrony praw wynikających ze sprawowania mandatu";"Ankieta badająca poziom zadowolenia posłów z działań podejmowanych przez Kancelarię Sejmu ";"4,2";"4,2";329750;329750;0
"1.2.2";;;"Kancelaria Senatu";"03";"Zapewnianie sprawnej obsługi parlamentarzystów, warunków niezbędnych do skutecznej realizacji obowiązków oraz ochrony praw wynikających ze sprawowania mandatu";"Ocena sprawności i efektywności obsługi Kancelarii Senatu dokonana przez senatorów (skala 1-4, gdzie 1 - ocena zła, 4 - ocena bardzo dobra)";"3,73";"> 3,77";52520;52520;0
"1.3";"1.3. Obsługa merytoryczna i kancelaryjno-biurowa Prezesa Rady Ministrów i Rady Ministrów";;"Kancelaria Prezesa Rady Ministrów";"16";"KPRM: Zapewnianie sprawnej i efektywnej obsługi Prezesa Rady Ministrów, Rady Ministrów oraz innych organów opiniodawczo-doradczych i pomocniczych PRM i RM";"Stopień zadowolenia z obsługi członków Rady Ministrów, zespołów  i rad,  których obsługę zapewnia KPRM, na podstawie ankiety ";"5,4";">=5,0";103824;79992;23832
"1.3";;;"Rządowe Centrum Legislacji";"75";"RCL: Tworzenie i ogłaszanie prawa";"Wskaźnik % liczby projektów ustaw opracowanych przez RCL w stosunku do liczby projektów ustaw wniesionych przez Radę Ministrów do Sejmu";"12,5";"25";25098;24744;354
"1.3";;;;"75";;"Liczba dokumentów rządowych i innych dokumentów uzgadnianych pod względem formalno-prawnym z RCL w przeliczeniu na jednego legislatora";"62,7";"zależnie od liczby wniesionych projektów";0;;
"1.3";;;;"75";;"Liczba kolumn materiału wydawniczego Dziennika Ustaw i Monitora Polskiego w przeliczeniu na jednego pracownika Redakcji";"1508";"zależnie od liczby wniesionych projektów";0;;
"1.3.1";;"1.3.1. Obsługa i koordynacja prac rządu";"Kancelaria Prezesa Rady Ministrów";"16";"Zapewnienie sprawnego funkcjonowania Rady Ministrów, Prezesa Rady Ministrów, wiceprezesów Rady Ministrów, członka Rady Ministrów - Przewodniczącego stałego komitetu Rady Ministrów i pozostałych osób zajmujących kierownicze stanowiska w Kancelarii PRM ";"Ocena pracy jednostek realizujących podzadanie 1.3.1 przez osoby i organy na rzecz których działają, na podstawie ankiety";"5,3";">=5,0";63232;63232;0
"1.3.2";;"1.3.2. Obsługa prawna Rady Ministrów";"Rządowe Centrum Legislacji";"75";"Tworzenie dobrego prawa";"Wyrażona w % proporcja między liczbą projektów ustaw, rozporządzeń RM i Prezesa RM opracowanych lub opiniowanych przez RCL, których niezgodność z Konstytucją nie została stwierdzona przez TK, a liczbą aktów prawnych tego typu opracowanych lub opiniowanych przez RCL";"99,5";"powyżej 98";20108;19812;296
"1.3.3";;"1.3.3. Zarządzanie korpusem służby cywilnej oraz podnoszenie jakości pracy w urzędach administracji rządowej";"Kancelaria Prezesa Rady Ministrów";"16";"Zapewnianie zawodowej, rzetelnej, bezstronnej i politycznie neutralnej kadry urzędników państwowych";"Odsetek uczestników szkoleń, którzy uważają, że podnieśli swoje kompetencje zawodowe na skutek uczestnictwa w szkoleniach, na podstawie ankiety ";"87,1%";"91,0%";40592;16760;23832
"1.3.4";;"1.3.4. Redagowanie i udostępnianie Dziennika Ustaw Rzeczypospolitej Polskiej oraz Dziennika Urzędowego Rzeczypospolitej Polskiej ``Monitor Polski``";"Rządowe Centrum Legislacji";"75";"Ogłaszanie prawa zgodnego z tekstem skierowanym do publikacji";"Wskaźnik % aktów prawnych, do których nie ogłaszano sprostowań";"99,8";"powyżej 99,5";4990;4932;58
