"numer";"Funkcja / zadanie / podzadanie
";"Dysponent
";"Część
";"Cel
";"Miernik
";;;"Przewidywane wydatki w 2012 r. (w tys. zł)
";"nation";"eu"
999999;"WYDATKI OGÓŁEM
";;;;;;;"404 804 059
";327700000;77104059
"1";"FUNKCJA 1. ZARZĄDZANIE PAŃSTWEM";;;;;;;"1  354 274
";"1  343 628
";10646
"1.1";"1.1. Obsługa merytoryczna i kancelaryjno-biurowa Prezydenta 
Rzeczypospolitej Polskiej ";"Kancelaria Prezydenta RP
";1;"Zapewnienie sprawnej i efektywnej obsługi Prezydenta
Rzeczypospolitej Polskiej";"Wskaźnik jakości planowania wydatków";984;999;"145 410
";"145 410
";0
"1.1.1";"1.1.1. Obsługa i koordynacja urzędu Prezydenta RP
";"Kancelaria Prezydenta RP
";1;"Zapewnienie realizacji zadań konstytucyjnych i
ustawowych Prezydenta Rzeczypospolitej Polskie
";"Wskaźnik jakości planowania wydatków
";988;999;"139 740
";"139 740
";0
"1.1.2";"1.1.2. Obsługa prawna urzędu Prezydenta RP
";"Kancelaria Prezydenta RP
";1;"Zapewnienie realizacji obsługi prawnej Prezydenta
Rzeczypospolitej Polskiej
";"Wskaźnik jakości planowania wydatków
";993;999;"5 670
";"5 670
";0
"1.2";"1.2. Obsługa Parlamentu i jego organów w zakresie merytorycznym i organizacyjnym
";"Kancelaria Sejmu
";2;"Wsparcie Sejmu i jego organów w realizacji zadań, zapewnienie sprawnej i efektywnej obsługi ich działalności, zapewnienie posłom warunków niezbędnych do skutecznej realizacji obowiązków oraz ochrony praw wynikających ze sprawowania mandatu
";"Ankieta badająca poziom zadowolenia pos łów z działań podejmowanych przez Kancelarię Sejmu
";43;43;"410 460
";"410 460
";0
"1.2";;"Kancelaria Senatu
";3;"Wsparcie w realizacji zadań Senatu i jego organów oraz zapewnienie warunków wykonywania mandatu senatora
";"Ocena sprawności i efektywnści obsługi Kancelarii
Senatu dokonana przez senatorów (skala 1-4, gdzie:
1 - ocena zła, 4 - ocena bardzo dobra)
";384;">3,77
";"66 047
";"66 047
";0
"1.2.1";"1.2.1. Wsparcie merytoryczne parlamentarzystów
";"Kancelaria Sejmu
";2;"Zapewnienie dostępu do wiedzy, analiz i ekspertyz niezbędnych w pracy parlamentarzystów.
";"Ankieta badająca poziom zadowolenia posłów z działań podejmowanych przez Kancelarię Sejmu.
";43;43;"133 183
";"133 183
";0
"1.2.1";;"Kancelaria Senatu
";3;"Zapewnienie dostępu do wiedzy, analiz i ekspertyz niezbędnych w pracy parlamentarzystów
";"Ocena wsparcia merytorycznego ze strony Kancelarii
Senatu dokonana przez senatorów (skala 1-4, gdzie 1
-  ocena zła, 4 - ocena bardzo dobra)
";379;">3,77
";"15 806
";"15 806
";0
"1.2.2";"1.2.2. Zapewnianie warunków wykonywania mandatu posła i senatora
";"Kancelaria Sejmu
";2;"Zapewnienie sprawnej obsługi parlamentarzystów, warunków niezbędnych do skutecznej realizacji obowiązków oraz ochrony praw wynikających ze sprawowania mandatu.
";"Ankieta badająca poziom zadowolenia posłów z działań podejmowanych przez Kancelarię Sejmu.
";43;43;"277 277
";"277 277
";0
"1.2.2";;"Kancelaria Senatu
";3;"Zapewnienie sprawnej obsługi parlamentarzystów, warunków niezbędnych do skutecznej realizacji obowiązków oraz ochrony praw wynikajacych ze sprawowania mandatu
";"Ocena obsługi organizacyjnej i technicznej ze strony
Kancelarii Senatu dokonana przez senatorów (skala 1
4, gdzie: 1- ocena zła, 4 - ocena bardzo dobra
";387;"> 3.77
";"50 241
";"50 241
";0
"1.3";"1.3. Obsługa merytoryczna i kancelaryjno-biurowa Prezesa Rady
Ministrów i Rady Ministrów
";"Kancelaria Prezesa Rady
Ministrów
";16;"Zapewnienie sprawnej i efektywnej obsługi Przesa Rady Ministrów, Rady Ministrów oraz innych organów opiniodawczo-doradczych i pomocniczych PRM i RM
";"Stopień zadowolenia z obsługi członków Rady Ministrów, zespołów i rad, których obsługę zapewnia KPRM, na podstawie ankiety
";51;">=5,0
";"113 268
";"103 797
";"9 471
"
"1.3";;"Rządowe Centrum Legislacji
";75;"Tworzenie i ogłaszanie prawa.
";"WskaŜnik procentowy liczby projektów ustaw opracowanych przez RCL na podstawie załoŜeń w stosunku do liczby projektów ustaw, opracowanych na podstawie  przyjętych uprzednio załoŜeń, wniesionych przez Radę Ministrów do Sejmu.
";75;"powyŜej 75
";"25 403
";"24 918
";485
"1.3.1";"1.3.1. Obsługa i koordynacja prac rządu
";"Kancelaria Prezesa Rady
Ministrów
";16;"Zapewnienie sprawnego funkcjonowania Rady Ministrów, Prezesa Rady Ministrów, wiceprezesów Rady Ministrów, członka Rady Ministrów - Przewodniczącego stałego komitetu Rady Ministrów i pozostałych osób zajmujących kierownicze stanowiska w Kancelarii PRM
";"Ocena pracy jednostek realizujących podzadanie
1.3.1 przez osoby i organy na rzecz których działają, na podstawie ankiety
";51;">=5,0
";"83 878
";"83 878
";0
