"idef";"idef_sort";"parent";"parent_sort";"node";"leaf";"level";"type";"name";"czesc";"wartosc_bazowa";"wartosc_rok_obec";"v_total";"v_nation";"v_eu";"v_proc_nation";"v_proc_eu"
"1";"001";;;;"f";"a";"FUNKCJA 1";"ZARZĄDZANIE PAŃSTWEM";;;;1354274;1343628;10646;99.21;0.79
"1-1";"001-001";"1";"001";;"f";"b";"Zadanie 1.1";"Obsługa merytoryczna i kancelaryjno-biurowa Prezydenta  Rzeczypospolitej Polskiej";;;;145410;145410;0;100;0
"1-1-1";"001-001-001";"1-1";"001-001";0;"f";"c";"Dysponent";"Kancelaria Prezydenta RP";"1";;;145410;145410;0;100;0
"1-1-1";"001-001-001";"1-1";"001-001";1;"f";"c";"Podzadanie 1.1.1";"Obsługa i koordynacja urzędu Prezydenta RP";;;;139740;139740;0;100;0
"1-1-1-1";"001-001-001-001";"1-1-1";"001-001-001";0;"f";"d";"Cel";"Zapewnienie sprawnej i efektywnej obsługi Prezydenta Rzeczypospolitej Polskiej";"1";;;;;;;
"1-1-1-1";"001-001-001-001";"1-1-1";"001-001-001";1;"f";"d";"Dysponent";"Kancelaria Prezydenta RP";"1";;;139740;139740;0;100;0
"1-1-1-1-1";"001-001-001-001-001";"1-1-1-1";"001-001-001-001";0;"t";"e";"Miernik";"Wskaźnik jakości planowania wydatków";"1";"984";"999";;;;;
"1-1-1-1-1";"001-001-001-001-001";"1-1-1-1";"001-001-001-001";1;"f";"e";"Cel";"Zapewnienie realizacji zadań konstytucyjnych i ustawowych Prezydenta Rzeczypospolitej Polskie";"1";;;;;;;
"1-1-1-1-1-1";"001-001-001-001-001-001";"1-1-1-1-1";"001-001-001-001-001";1;"t";"f";"Miernik";"Wskaźnik jakości planowania wydatków";"1";"988";"999";;;;;
"1-1-2";"001-001-002";"1-1";"001-001";1;"f";"c";"Podzadanie 1.1.2";"Obsługa prawna urzędu Prezydenta RP";;;;5670;5670;0;100;0
"1-1-2-1";"001-001-002-001";"1-1-2";"001-001-002";1;"f";"d";"Dysponent";"Kancelaria Prezydenta RP";"1";;;5670;5670;0;100;0
