"numer";"parent";"idef";"czesc";"level";"tresc";"pozycja";"total";"dot_sub";"swiad_fiz";"wyd_jednostek";"wyd_majatk";"wyd_dlug";"sw_eu";"wspolfin_eu"
1;;"01";"1";0;"KANCELARIA PREZYDENTA RP";1;171524;42000;953;121721;6850;;;
751;"01";"01-751";"1";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;129524;;953;121721;6850;;;
75101;"01-751";"01-751-01";"1";2;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa";3;102181;;270;95361;6550;;;
75103;"01-751";"01-751-03";"1";2;"Biuro Bezpieczeństwa  Narodowego";4;14800;;100;14400;300;;;
75106;"01-751";"01-751-06";"1";2;"Odznaczenia państwowe";5;10153;;;10153;;;;
75195;"01-751";"01-751-95";"1";2;"Pozostała działalność";6;2390;;583;1807;;;;
921;"01";"01-921";"1";1;"Kultura i ochrona dziedzictwa narodowego";7;42000;42000;;;;;;
92123;"01-921";"01-921-23";"1";2;"Narodowy Fundusz Rewaloryzacji Zabytków Krakowa";8;42000;42000;;;;;;
2;;"02";"2";0;"KANCELARIA SEJMU";1;430780;;80741;328763;21276;;;
751;"02";"02-751";"2";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;430780;;80741;328763;21276;;;
75101;"02-751";"02-751-01";"2";2;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa";3;430780;;80741;328763;21276;;;
3;;"03";"3";0;"KANCELARIA SENATU";1;176212;62000;17858;78454;17900;;;
751;"03";"03-751";"3";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;176212;62000;17858;78454;17900;;;
75101;"03-751";"03-751-01";"3";2;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa";3;101212;;17858;78454;4900;;;
75195;"03-751";"03-751-95";"3";2;"Pozostała działalność (Opieka nad Polonią i Polakami za granicą)";4;75000;62000;;;13000;;;
4;;"04";"4";0;"SĄD NAJWYŻSZY";1;88161;;19459;66386;2316;;;
751;"04";"04-751";"4";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;68885;;183;66386;2316;;;
75102;"04-751";"04-751-02";"4";2;"Naczelne organy sądownictwa";3;68885;;183;66386;2316;;;
753;"04";"04-753";"4";1;"Obowiązkowe ubezpieczenia społeczne";4;19276;;19276;;;;;
75312;"04-753";"04-753-12";"4";2;"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";5;19276;;19276;;;;;
5;;"05";"5";0;"NACZELNY SĄD ADMINISTRACYJNY";1;373452;;20953;327736;24763;;;
751;"05";"05-751";"5";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;352769;;270;327736;24763;;;
75102;"05-751";"05-751-02";"5";2;"Naczelne organy sądownictwa";3;352769;;270;327736;24763;;;
753;"05";"05-753";"5";1;"Obowiązkowe ubezpieczenia społeczne";4;20683;;20683;;;;;
75312;"05-753";"05-753-12";"5";2;"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";5;20683;;20683;;;;;
6;;"06";"6";0;"TRYBUNAŁ KONSTYTUCYJNY";1;26840;;4730;21660;450;;;
751;"06";"06-751";"6";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;22138;;28;21660;450;;;
75102;"06-751";"06-751-02";"6";2;"Naczelne organy sądownictwa";3;22138;;28;21660;450;;;
753;"06";"06-753";"6";1;"Obowiązkowe ubezpieczenia społeczne";4;4702;;4702;;;;;
75312;"06-753";"06-753-12";"6";2;"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";5;4702;;4702;;;;;
7;;"07";"7";0;"NAJWYŻSZA IZBA KONTROLI";1;257802;;284;238722;18796;;;
751;"07";"07-751";"7";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;257802;;284;238722;18796;;;
75101;"07-751";"07-751-01";"7";2;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa";3;257802;;284;238722;18796;;;
8;;"08";"8";0;"RZECZNIK PRAW OBYWATELSKICH";1;35424;;46;34464;914;;;
751;"08";"08-751";"8";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;35424;;46;34464;914;;;
75101;"08-751";"08-751-01";"8";2;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa";3;35424;;46;34464;914;;;
9;;"09";"9";0;"KRAJOWA RADA RADIOFONII I TELEWIZJI";1;17890;;4;16432;1454;;;
751;"09";"09-751";"9";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;17890;;4;16432;1454;;;
75101;"09-751";"09-751-01";"9";2;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa";3;17890;;4;16432;1454;;;
10;;"10";"10";0;"GENERALNY INSPEKTOR OCHRONY DANYCH OSOBOWYCH";1;14700;;2;14298;400;;;
751;"10";"10-751";"10";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;14700;;2;14298;400;;;
75101;"10-751";"10-751-01";"10";2;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa";3;14700;;2;14298;400;;;
11;;"11";"11";0;"KRAJOWE BIURO WYBORCZE";1;45832;6354;77;38911;490;;;
751;"11";"11-751";"11";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;45832;6354;77;38911;490;;;
75101;"11-751";"11-751-01";"11";2;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa";3;45832;6354;77;38911;490;;;
12;;"12";"12";0;"PAŃSTWOWA INSPEKCJA PRACY";1;274479;;1289;263815;9350;;;25
751;"12";"12-751";"12";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;274479;;1289;263815;9350;;;25
75101;"12-751";"12-751-01";"12";2;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa";3;270939;;931;260633;9350;;;25
75195;"12-751";"12-751-95";"12";2;"Pozostała działalność";4;3540;;358;3182;;;;
13;;"13";"13";0;"INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU";1;223263;1870;3532;205442;12419;;;
751;"13";"13-751";"13";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;221168;1870;1437;205442;12419;;;
75101;"13-751";"13-751-01";"13";2;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa";3;98983;1870;783;84393;11937;;;
75112;"13-751";"13-751-12";"13";2;"Jednostki podległe Instytutowi Pamięci Narodowej – Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu";4;122185;;654;121049;482;;;
753;"13";"13-753";"13";1;"Obowiązkowe ubezpieczenia społeczne";5;2095;;2095;;;;;
75302;"13-753";"13-753-02";"13";2;"Uposażenia prokuratorów w stanie spoczynku oraz uposażenia rodzinne";6;2095;;2095;;;;;
14;;"14";"14";0;"RZECZNIK PRAW DZIECKA";1;8540;3;8337;200;;;;
751;"14";"14-751";"14";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;8540;3;8337;200;;;;
75101;"14-751";"14-751-01";"14";2;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa";3;8540;3;8337;200;;;;
15;;"15";"15";0;"SĄDY POWSZECHNE";1;5929826;;401437;5171604;356785;;;
753;"15";"15-753";"15";1;"Obowiązkowe ubezpieczenia społeczne";2;189977;;189977;;;;;
75312;"15-753";"15-753-12";"15";2;"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";3;189977;;189977;;;;;
755;"15";"15-755";"15";1;"Wymiar sprawiedliwości";4;5694706;;211367;5126554;356785;;;
75502;"15-755";"15-755-02";"15";2;"Jednostki sądownictwa powszechnego";5;5628438;;211367;5060286;356785;;;
75595;"15-755";"15-755-95";"15";2;"Pozostała działalność";6;66268;;;66268;;;;
801;"15";"15-801";"15";1;"Oświata i wychowanie";7;45143;;93;45050;;;;
80144;"15-801";"15-801-44";"15";2;"Inne formy kształcenia osobno niewymienione";8;45143;;93;45050;;;;
"15/01";;"15-01";"15/01";0;"Ministerstwo Sprawiedliwości";1;193116;;6922;94694;91500;;;
753;"15-01";"15-01-753";"15/01";1;"Obowiązkowe ubezpieczenia społeczne";2;6922;;6922;;;;;
75312;"15-01-753";"15-01-753-12";"15/01";2;"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";3;6922;;6922;;;;;
755;"15-01";"15-01-755";"15/01";1;"Wymiar sprawiedliwości";4;183796;;;92296;91500;;;
75502;"15-01-755";"15-01-755-02";"15/01";2;"Jednostki sądownictwa powszechnego";5;183796;;;92296;91500;;;
801;"15-01";"15-01-801";"15/01";1;"Oświata i wychowanie";6;2398;;;2398;;;;
80144;"15-01-801";"15-01-801-44";"15/01";2;"Inne formy kształcenia osobno niewymienione";7;2398;;;2398;;;;
"15/02";;"15-02";"15/02";0;"Sąd Apelacyjny w Warszawie";1;708561;;54163;640378;;;;
753;"15-02";"15-02-753";"15/02";1;"Obowiązkowe ubezpieczenia społeczne";2;22743;;22743;;;;;
75312;"15-02-753";"15-02-753-12";"15/02";2;"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";3;22743;;22743;;;;;
755;"15-02";"15-02-755";"15/02";1;"Wymiar sprawiedliwości";4;680386;;31409;634957;;;;
75502;"15-02-755";"15-02-755-02";"15/02";2;"Jednostki sądownictwa powszechnego";5;668840;;31409;623411;;;;
75595;"15-02-755";"15-02-755-95";"15/02";2;"Pozostała działalność";6;11546;;;11546;;;;
801;"15-02";"15-02-801";"15/02";1;"Oświata i wychowanie";7;5432;;11;5421;;;;
80144;"15-02-801";"15-02-801-44";"15/02";2;"Inne formy kształcenia osobno niewymienione";8;5432;;11;5421;;;;
"15/03";;"15-03";"15/03";0;"Sąd Apelacyjny w Katowicach";1;683152;;46948;614095;22109;;;
753;"15-03";"15-03-753";"15/03";1;"Obowiązkowe ubezpieczenia społeczne";2;19655;;19655;;;;;
75312;"15-03-753";"15-03-753-12";"15/03";2;"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";3;19655;;19655;;;;;
755;"15-03";"15-03-755";"15/03";1;"Wymiar sprawiedliwości";4;658370;;27285;608976;22109;;;
75502;"15-03-755";"15-03-755-02";"15/03";2;"Jednostki sądownictwa powszechnego";5;652063;;27285;602669;22109;;;
75595;"15-03-755";"15-03-755-95";"15/03";2;"Pozostała działalność";6;6307;;;6307;;;;
801;"15-03";"15-03-801";"15/03";1;"Oświata i wychowanie";7;5127;;8;5119;;;;
80144;"15-03-801";"15-03-801-44";"15/03";2;"Inne formy kształcenia osobno niewymienione";8;5127;;8;5119;;;;
"15/04";;"15-04";"15/04";0;"Sąd Apelacyjny w Gdańsku";1;708561;;54163;640378;14020;;;
753;"15-04";"15-04-753";"15/04";1;"Obowiązkowe ubezpieczenia społeczne";2;22743;;22743;;;;;
75312;"15-04-753";"15-04-753-12";"15/04";2;"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";3;22743;;22743;;;;;
755;"15-04";"15-04-755";"15/04";1;"Wymiar sprawiedliwości";4;680386;;31409;634957;14020;;;
75502;"15-04-755";"15-04-755-02";"15/04";2;"Jednostki sądownictwa powszechnego";5;668840;;31409;623411;14020;;;
75595;"15-04-755";"15-04-755-95";"15/04";2;"Pozostała działalność";6;11546;;;11546;;;;
801;"15-04";"15-04-801";"15/04";1;"Oświata i wychowanie";7;5432;;11;5421;;;;
80144;"15-04-801";"15-04-801-44";"15/04";2;"Inne formy kształcenia osobno niewymienione";8;5432;;11;5421;;;;
"15/05";;"15-05";"15/05";0;"Sąd Apelacyjny w Poznaniu";1;508592;;31450;441585;35557;;;
753;"15-05";"15-05-753";"15/05";1;"Obowiązkowe ubezpieczenia społeczne";2;16742;;16742;;;;;
75312;"15-05-753";"15-05-753-12";"15/05";2;"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";3;16742;;16742;;;;;
755;"15-05";"15-05-755";"15/05";1;"Wymiar sprawiedliwości";4;487465;;14700;437208;35557;;;
75502;"15-05-755";"15-05-755-02";"15/05";2;"Jednostki sądownictwa powszechnego";5;479537;;14700;429280;35557;;;
75595;"15-05-755";"15-05-755-95";"15/05";2;"Pozostała działalność";6;7928;;;7928;;;;
801;"15-05";"15-05-801";"15/05";1;"Oświata i wychowanie";7;4385;;8;4377;;;;
80144;"15-05-801";"15-05-801-44";"15/05";2;"Inne formy kształcenia osobno niewymienione";8;4385;;8;4377;;;;
"15/06";;"15-06";"15/06";0;"Sąd Apelacyjny w Krakowie";1;610610;;39966;547470;23174;;;
753;"15-06";"15-06-753";"15/06";1;"Obowiązkowe ubezpieczenia społeczne";2;18776;;18776;;;;;
75312;"15-06-753";"15-06-753-12";"15/06";2;"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";3;18776;;18776;;;;;
755;"15-06";"15-06-755";"15/06";1;"Wymiar sprawiedliwości";4;587946;;21185;543587;23174;;;
75502;"15-06-755";"15-06-755-02";"15/06";2;"Jednostki sądownictwa powszechnego";5;582479;;21185;538120;23174;;;
75595;"15-06-755";"15-06-755-95";"15/06";2;"Pozostała działalność";6;5467;;;5467;;;;
801;"15-06";"15-06-801";"15/06";1;"Oświata i wychowanie";7;3888;;5;3883;;;;
80144;"15-06-801";"15-06-801-44";"15/06";2;"Inne formy kształcenia osobno niewymienione";8;3888;;5;3883;;;;
"15/07";;"15-07";"15/07";0;"Sąd Apelacyjny we Wrocławiu";1;612966;;43484;547769;21713;;;
753;"15-07";"15-07-753";"15/07";1;"Obowiązkowe ubezpieczenia społeczne";2;21115;;21115;;;;;
75312;"15-07-753";"15-07-753-12";"15/07";2;"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";3;21115;;21115;;;;;
755;"15-07";"15-07-755";"15/07";1;"Wymiar sprawiedliwości";4;586887;;22351;542823;21713;;;
75502;"15-07-755";"15-07-755-02";"15/07";2;"Jednostki sądownictwa powszechnego";5;579287;;22351;535223;21713;;;
75595;"15-07-755";"15-07-755-95";"15/07";2;"Pozostała działalność";6;7600;;;7600;;;;
801;"15-07";"15-07-801";"15/07";1;"Oświata i wychowanie";7;4964;;18;4946;;;;
80144;"15-07-801";"15-07-801-44";"15/07";2;"Inne formy kształcenia osobno niewymienione";8;4964;;18;4946;;;;
"15/08";;"15-08";"15/08";0;"Sąd Apelacyjny w Łodzi";1;541916;;39758;483517;18641;;;
753;"15-08";"15-08-753";"15/08";1;"Obowiązkowe ubezpieczenia społeczne";2;17859;;17859;;;;;
75312;"15-08-753";"15-08-753-12";"15/08";2;"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";3;17859;;17859;;;;;
755;"15-08";"15-08-755";"15/08";1;"Wymiar sprawiedliwości";4;519347;;21888;478818;18641;;;
75502;"15-08-755";"15-08-755-02";"15/08";2;"Jednostki sądownictwa powszechnego";5;513750;;21888;473221;18641;;;
75595;"15-08-755";"15-08-755-95";"15/08";2;"Pozostała działalność";6;5597;;;5597;;;;
801;"15-08";"15-08-801";"15/08";1;"Oświata i wychowanie";7;4710;;11;4699;;;;
80144;"15-08-801";"15-08-801-44";"15/08";2;"Inne formy kształcenia osobno niewymienione";8;4710;;11;4699;;;;
"15/09";;"15-09";"15/09";0;"Sąd Apelacyjny w Rzeszowie";1;255064;;17650;222668;14746;;;
753;"15-09";"15-09-753";"15/09";1;"Obowiązkowe ubezpieczenia społeczne";2;8209;;8209;;;;;
75312;"15-09-753";"15-09-753-12";"15/09";2;"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";3;8209;;8209;;;;;
755;"15-09";"15-09-755";"15/09";1;"Wymiar sprawiedliwości";4;244723;;9436;220541;14746;;;
75502;"15-09-755";"15-09-755-02";"15/09";2;"Jednostki sądownictwa powszechnego";5;242929;;9436;218747;14746;;;
75595;"15-09-755";"15-09-755-95";"15/09";2;"Pozostała działalność";6;1794;;;1794;;;;
801;"15-09";"15-09-801";"15/09";1;"Oświata i wychowanie";7;2132;;5;2127;;;;
80144;"15-09-801";"15-09-801-44";"15/09";2;"Inne formy kształcenia osobno niewymienione";8;2132;;5;2127;;;;
"15/10";;"15-10";"15/10";0;"Sąd Apelacyjny w Białymstoku";1;360533;;28772;327552;4209;;;
753;"15-10";"15-10-753";"15/10";1;"Obowiązkowe ubezpieczenia społeczne";2;10884;;10884;;;;;
75312;"15-10-753";"15-10-753-12";"15/10";2;"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";3;10884;;10884;;;;;
755;"15-10";"15-10-755";"15/10";1;"Wymiar sprawiedliwości";4;346322;;17881;324232;4209;;;
75502;"15-10-755";"15-10-755-02";"15/10";2;"Jednostki sądownictwa powszechnego";5;342156;;17881;320066;4209;;;
75595;"15-10-755";"15-10-755-95";"15/10";2;"Pozostała działalność";6;4166;;;4166;;;;
801;"15-10";"15-10-801";"15/10";1;"Oświata i wychowanie";7;3327;;7;3320;;;;
80144;"15-10-801";"15-10-801-44";"15/10";2;"Inne formy kształcenia osobno niewymienione";8;3327;;7;3320;;;;
"15/11";;"15-11";"15/11";0;"Sąd Apelacyjny w Lublinie";1;478018;;30579;411675;35764;;;
753;"15-11";"15-11-753";"15/11";1;"Obowiązkowe ubezpieczenia społeczne";2;14337;;14337;;;;;
75312;"15-11-753";"15-11-753-12";"15/11";2;"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";3;14337;;14337;;;;;
755;"15-11";"15-11-755";"15/11";1;"Wymiar sprawiedliwości";4;460056;;16233;408059;35764;;;
75502;"15-11-755";"15-11-755-02";"15/11";2;"Jednostki sądownictwa powszechnego";5;456582;;16233;404585;35764;;;
75595;"15-11-755";"15-11-755-95";"15/11";2;"Pozostała działalność";6;3474;;;3474;;;;
801;"15-11";"15-11-801";"15/11";1;"Oświata i wychowanie";7;3625;;9;3616;;;;
80144;"15-11-801";"15-11-801-44";"15/11";2;"Inne formy kształcenia osobno niewymienione";8;3625;;9;3616;;;;
"15/12";;"15-12";"15/12";0;"Sąd Apelacyjny w Szczecinie";1;349424;;25643;319738;4043;;;
753;"15-12";"15-12-753";"15/12";1;"Obowiązkowe ubezpieczenia społeczne";2;12044;;12044;;;;;
75312;"15-12-753";"15-12-753-12";"15/12";2;"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";3;12044;;12044;;;;;
755;"15-12";"15-12-755";"15/12";1;"Wymiar sprawiedliwości";4;334996;;13591;317362;4043;;;
75502;"15-12-755";"15-12-755-02";"15/12";2;"Jednostki sądownictwa powszechnego";5;330748;;13591;313114;4043;;;
75595;"15-12-755";"15-12-755-95";"15/12";2;"Pozostała działalność";6;4248;;;4248;;;;
801;"15-12";"15-12-801";"15/12";1;"Oświata i wychowanie";7;2384;;8;2376;;;;
80144;"15-12-801";"15-12-801-44";"15/12";2;"Inne formy kształcenia osobno niewymienione";8;2384;;8;2376;;;;
"52";;"52";"52";0;"KRAJOWA RADA SĄDOWNICTWA";1;11188;;1670;9229;289;;;
751;"52";"52-751";"52";1;"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;11188;;1670;9229;289;;;
75104;"52-751";"52-751-04";"52";2;"Krajowa Rada Sądownictwa";3;11188;;1670;9229;289;;;
"16";;"16";"16";0;"KANCELARIA PREZESA RADY MINISTRÓW";1;118586;12106;2440;95159;500;;;8381
710;"16";"16-710";"16";1;"Działalność usługowa";2;3124;3124;;;;;;
71031;"16-710";"16-710-31";"16";2;"Centrum Badania Opinii Społecznej";3;3124;3124;;;;;;
750;"16";"16-750";"16";1;"Administracja publiczna";4;115439;8982;2440;95136;500;;;8381
75001;"16-750";"16-750-01";"16";2;"Urzędy naczelnych i centralnych organów administracji rządowej";5;88681;;100;82649;100;;;5832
75061;"16-750";"16-750-61";"16";2;"Ośrodek Studiów Wschodnich";6;8431;;;8031;400;;;
75065;"16-750";"16-750-65";"16";2;"Krajowa Szkoła Administracji Publicznej";7;8933;8832;;;;;;101
75068;"16-750";"16-750-68";"16";2;"Rada do Spraw Uchodźców";8;630;;;630;;;;
75074;"16-750";"16-750-74";"16";2;"Rada do Spraw Polaków na Wschodzie";9;150;;;150;;;;
75076;"16-750";"16-750-76";"16";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";10;3029;;;2459;;;;570
75095;"16-750";"16-750-95";"16";2;"Pozostała działalność";11;5585;150;2340;1217;;;;1878
752;"16";"16-752";"16";1;"Obrona narodowa";12;23;;;23;;;;
75212;"16-752";"16-752-12";"16";2;"Pozostałe wydatki obronne";13;23;;;23;;;;
"17";;"17";"17";0;"ADMINISTRACJA  PUBLICZNA";1;49056;;28;27505;312;;;21211
710;"17";"17-710";"17";1;"Działalność usługowa";2;30281;;25;18943;180;;;11133
71013;"17-710";"17-710-13";"17";2;"Prace geodezyjne i kartograficzne (nieinwestycyjne)";3;6744;;;6744;;;;
71021;"17-710";"17-710-21";"17";2;"Główny Urząd Geodezji i Kartografii";4;23537;;25;12199;180;;;11133
750;"17";"17-750";"17";1;"Administracja publiczna";5;18775;;3;8562;132;;;10078
75001;"17-750";"17-750-01";"17";2;"Urzędy naczelnych i centralnych organów administracji rządowej";6;18775;;3;8562;132;;;10078
"18";;"18";"18";0;"BUDOWNICTWO,  GOSPODARKA  PRZESTRZENNA  I MIESZKANIOWA";1;1419401;1361884;173;56345;999;;;
700;"18";"18-700";"18";1;"Gospodarka mieszkaniowa";2;1369084;1361884;;7200;;;;
70005;"18-700";"18-700-05";"18";2;"Gospodarka gruntami i nieruchomościami";3;721;;;721;;;;
70015;"18-700";"18-700-15";"18";2;"Refundacja premii gwarancyjnych oraz premii za systematyczne oszczędzanie";4;520000;520000;;;;;;
70017;"18-700";"18-700-17";"18";2;"Wykup odsetek od kredytów mieszkaniowych";5;130000;124800;;5200;;;;
70020;"18-700";"18-700-20";"18";2;"Fundusz Termomodernizacji i Remontów";6;200000;200000;;;;;;
70022;"18-700";"18-700-22";"18";2;"Fundusz Dopłat";7;517084;517084;;;;;;
