"Numer umowy/decyzji";"Tytuł projektu";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Cały kraj/ Województwo";"Powiat";"Gmina";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"POIG.03.03.02-00-006/08-00";"Usługi doradcze przy przeprowadzaniu emisji publicznej przez TINES S.A.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.03.00";"POIG.03.03.02";"Małopolskie";"Powiat m. Kraków";"M. Kraków";"510,674.19";"370,000.00";"185,000.00";"157,250.00";"TINES SA";"6792797186";"30-212";"KRAKÓW";"Małopolskie";"Powiat m. Kraków";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"spółka akcyjna - małe przedsiębiorstwo";"00 Nie dotyczy";"POIG.03.03.02-00-006/08-01";"Tak";"2008/12/29";"2009/01/29"
"POIG.03.03.02-00-021/08-00";"Przygotowanie firmy HOTBLOK do pozyskania inwestorów zewnętrznych";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.03.00";"POIG.03.03.02";"Śląskie";"Powiat m. Dąbrowa Górnicza";"M. Dąbrowa Górnicza";"276,940.00";"227,000.00";"113,500.00";"96,475.00";"HOTBLOK Spółka Akcyjna";"6342463031";"42-530";"Dąbrowa Górnicza";"Śląskie";"Powiat m. Dąbrowa Górnicza";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"spółka akcyjna - małe przedsiębiorstwo";"00 Nie dotyczy";"POIG.03.03.02-00-021/08-01";"Tak";"2008/12/29";"2009/01/29"
"POIG.03.03.02-00-028/08-00";"Wprowadzenie spółki Ekopol Górnośląski Holding S.A. na rynek NewConnect ";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.03.00";"POIG.03.03.02";"Śląskie";"Powiat tarnogórski";"Radzionków";"270,840.00";"195,000.00";"97,500.00";"82,875.00";"Ekopol Górnośląski Holding S.A";"6270012803";"41-922";"Radzionków";"Śląskie";"Powiat tarnogórski";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"spółka akcyjna - małe przedsiębiorstwo";"00 Nie dotyczy";"POIG.03.03.02-00-028/08-01";"Tak";"2008/12/30";"2009/01/30"
"POIG.04.02.00-10-003/08-01";"Rozwój działalności badawczo-rozwojowej skutkujący wprowadzeniem nowych ekologicznych produktów";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.02.00";"";"Łódzkie";"Powiat m. Łódź";"M. Łódź";"657,946.00";"524,354.54";"365,388.17";"310,579.94";"Zakład Elektroniki Przemysłowej ENIKA Spółka z ograniczoną odpowiedzialnością";"9471927681";"91-223";"Łódź";"Łódzkie";"Powiat m. Łódź";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - małe przedsiębiorstwo";"00 Nie dotyczy";"POIG.04.02.00-10-003/08-01";"Tak";"2008/12/16";"2009/01/29"
"POIG.04.02.00-10-004/08-01";"Rozwój działalności badawczo-rozwojowej prowadzonej przez BTL Sp. z o.o.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.02.00";"";"Łódzkie";"Powiat m. Łódź";"M. Łódź";"646,600.00";"530,000.00";"371,000.00";"315,350.00";"BTL Spółka z ograniczoną odpowiedzialnością Zakład Enzymów i Peptonów";"7290207522";"93-492";"Łódź";"Łódzkie";"Powiat m. Łódź";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - małe przedsiębiorstwo";"00 Nie dotyczy";"POIG.04.02.00-10-004/08-02";"Tak";"2008/10/20";"2009/03/17"
"POIG.04.04.00-02-002/08-07";"Zwiększenie potencjału innowacyjnego i konkurencyjnego Alfa Systems Sp. z o. o. poprzez budowę zakładu produkcji polioli poliestrowych oraz systemów poliuretanowych";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Dolnośląskie";"Powiat wołowski";"Brzeg Dolny";"31,110,000.00";"20,000,000.00";"10,000,000.00";"8,500,000.00";"STEPAN POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"9170000133";"56-120";"Brzeg Dolny";"Dolnośląskie";"Powiat wołowski";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"";"";"2008/12/30";"2011/05/05"
"POIG.04.04.00-02-003/08-07";"Wdrożenie innowacyjnej technologii produkcji nowych na rynku siedzeń modułowych";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Dolnośląskie";"Powiat polkowicki";"Polkowice";"131,108,688.32";"98,774,643.00";"39,509,857.20";"33,583,378.62";"Sitech Sp. z o.o.";"6922088905";"59-101";"Polkowice";"Dolnośląskie";"Powiat polkowicki";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - duże przedsiębiorstwo";"00 Nie dotyczy";"POIG.04.04.00-02-003/08-03";"Nie";"2008/12/30";"2010/10/21"
"POIG.04.04.00-02-005/08-10";"Inwestycja w innowacyjną technologię do produkcji złączek do instalacji wody pitnej i sanitarnej z ekologicznych, bezołowiowych stopów miedzi";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Dolnośląskie";"Powiat m. Legnica";"M. Legnica";"50,660,500.00";"37,630,000.00";"15,052,000.00";"12,794,200.00";"SANHA Polska Spółka z ograniczoną odpowiedzialnością";"6911972076";"59-220";"Legnica";"Dolnośląskie";"Powiat legnicki / Powiat m. Legnica";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - duże przedsiębiorstwo";"00 Nie dotyczy";"";"";"2008/12/30";"2011/01/27"
"POIG.04.04.00-02-007/08-06";"Wdrożenie technologii Merkel Vocomatic do produkcji siłowników hydraulicznych";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Dolnośląskie";"Powiat lubański";"Lubań - miasto";"10,830,184.00";"8,877,200.00";"3,550,880.00";"3,018,248.00";"Agromet ZEHS Lubań S.A.";"6130003164";"59-800";"Lubań";"Dolnośląskie";"Powiat lubański";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka akcyjna - duże przedsiębiorstwo";"00 Nie dotyczy";"";"";"2008/12/30";"2011/05/23"
"POIG.04.04.00-02-009/08-04";"Nano Beton - Polski Produkt Przyszłości - Nowa Era w Budownictwie.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Dolnośląskie";"Powiat wrocławski";"Kobierzyce";"10,017,220.00";"8,201,000.00";"4,099,950.00";"3,484,957.50";"SANBET FABRYKA BETONU WIESŁAWA, STEFAN PIOTROWSCY SPÓŁKA JAWNA";"8961381183";"55-040";"Ślęza";"Dolnośląskie";"Powiat wrocławski";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka jawna - średnie przedsiębiorstwo";"00 Nie dotyczy";"";"";"2008/12/30";"2010/11/19"
