"Numer umowy/decyzji";"Tytuł projektu";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Cały kraj";"Powiat";"Gmina";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"POIG.01.01.01-00-001/08-01";"Foresight priorytetowych, innowacyjnych technologii na rzecz automatyki, robotyki i techniki pomiarowej
";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.01";"Cały kraj";"";"";"1,198,500.00";"1,198,500.00";"1,198,500.00";"1,018,725.00";"Przemysłowy Instytut Automatyki i Pomiarów PIAP";"5250008815";"02-486";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.01.01-00-001/08-08";"Tak";"2010/05/18";"2010/05/24"
"POIG.01.01.01-00-005/09-02";"Nowoczesne technologie dla włokiennictwa. Szansa dla Polski.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.01";"Cały kraj";"";"";"2,868,284.03";"2,868,284.03";"2,868,284.03";"2,438,041.43";"Instytut Biopolimerów i Włókien Chemicznych";"7240000138";"90-570";"Łódź";"Łódzkie";"Powiat m. Łódź";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.01.01-00-005/09-09";"Nie";"2010/12/31";"2011/01/03"
"POIG.01.01.01-00-009/09-02";"Odpady nieorganiczne przemysłu chemicznego - foresight technologiczny";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.01";"Cały kraj";"";"";"1,920,932.96";"1,919,422.96";"1,919,422.96";"1,631,509.52";"Instytut Nawozów Sztucznych Oddział Chemii Nieorganicznej ""IChN"" w Gliwicach";"7160002098";"44-101";"Gliwice";"";"";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.01.01-00-009/09-12";"Nie";"2010/12/08";"2010/12/14"
"POIG.01.01.01-00-012/09-02";"Analiza i prognozowanie ścieżek rozwoju interdyscyplinarnych nauk o poznaniu metodami foresight.
";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.01";"Cały kraj";"";"";"1,181,000.00";"1,181,000.00";"1,181,000.00";"1,003,850.00";"Uniwersytet Jagielloński";"6750002236";"31-007";"Kraków";"Małopolskie";"Powiat m. Kraków";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.01.01-00-012/09-13";"Nie";"2010/12/29";"2010/12/30"
"POIG.01.01.01-00-021/09-01";"Scenariusze i trendy rozwojowe wybranych technologii społeczeństwa informacyjnego do roku 2025";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.01";"Cały kraj";"";"";"1,999,974.00";"1,999,974.00";"1,999,974.00";"1,699,977.90";"Fundacja Progress and Business";"6770011333";"30-041";"Kraków";"Małopolskie";"Powiat m. Kraków";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"fundacja";"00 Nie dotyczy";"POIG.01.01.01-00-021/09-15";"Nie";"2010/04/09";"2010/04/15"
"POIG.01.01.01-00-023/08-02";"Foresight wiodących technologii kształtowania własności powierzchni materiałów inżynierskich i biomedycznych";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.01";"Cały kraj";"";"";"2,967,528.00";"2,967,528.00";"2,967,528.00";"2,522,398.80";"Politechnika Śląska";"6310200736";"44-100";"Gliwice";"Śląskie";"Powiat m. Gliwice";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.01.01-00-023/08-17";"Nie";"2010/12/14";"2010/12/16"
"POIG.01.01.02-00-048/09-03";"Elektrochemiczne bioczujniki do detekcji aktywacji receptorów RAGE - narzędzia taniej teranostyki
";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.02";"Cały kraj";"";"";"3,471,281.79";"3,471,281.79";"3,471,281.79";"2,950,589.52";"Instytut Biochemii i Biofizyki Polskiej Akademii Nauk";"5261039742";"02-106";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.01.02-00-048/09-19";"Nie";"2010/12/20";"2010/12/23"
"POIG.01.01.02-00-062/09-02";"Inteligentny System Informacyjny dla Globalnego Monitoringu, Detekcji i Identyfikacji Zagrożeń (INSIGMA)
";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.02";"Cały kraj";"";"";"17,436,754.00";"17,436,754.00";"17,436,754.00";"14,821,240.90";"Akademia Górniczo - Hutnicza im. Stanisława Staszica w Krakowie ";"6750001923";"30-059";"Kraków";"Małopolskie";"Powiat m. Kraków";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.01.02-00-062/09-19";"Nie";"2010/12/29";"2011/01/03"
"POIG.01.01.02-00-097/09-02";"Nowe materiały konstrukcyjne o podwyższonej przewodności cieplnej
";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.02";"Cały kraj";"";"";"23,886,858.60";"23,886,858.60";"23,886,858.60";"20,303,829.81";"Politechnika Warszawska";"5250005834";"00-661";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.01.02-00-097/09-18";"Nie";"2010/12/29";"2011/01/04"
"POIG.01.01.02-00-108/09-02";"Nowoczesne materiały i innowacyjne metody dla przetwarzania i monitorowania energii (MIME)
";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.02";"Cały kraj";"";"";"22,243,954.00";"22,031,860.00";"22,031,860.00";"18,727,081.00";"Instytut Fizyki Polskiej Akademii Nauk";"5250009275";"02-668";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.01.02-00-108/09-16";"Nie";"2010/12/29";"2011/01/03"
