"Numer umowy/decyzji";"Tytuł projektu";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Cały kraj/ Województwo";"Powiat";"Gmina";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"POIS.12.01.00-00-037/08-00";"Wymiana w drodze zakupu wyeksploatowanych ambulansów na nowe przez SPZOZ w Słubicach w celu zachowania zasady ""złotej godziny""";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Lubuskie";"Powiat słubicki";"";"927,469.63";"927,469.63";"788,349.18";"788,349.18";"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Słubicach";"5981174327";"69-100";"Słubice";"Lubuskie";"Powiat słubicki";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-037/08-01";"Tak";"2009/10/15";"2009/10/20"
"POIS.12.01.00-00-055/08-00";"Modernizacja systemu ratownictwa medycznego na terenie powiatu sieradzkiego poprzez zakup dwóch nowych karetek";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Łódzkie";"Powiat sieradzki";"";"741,557.52";"644,999.98";"548,249.98";"548,249.98";"Samodzielny Publiczny Zakład Opieki Zdrowotnej im. Prymasa Kard. St. Wyszyńskiego ";"8271831912";"98-200";"Sieradz";"Łódzkie";"Powiat sieradzki";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-055/08-02-K01";"Tak";"2009/06/25";"2009/07/06"
"POIS.12.01.00-00-057/08-01";"Poprawa bezpieczeństwa mieszkańców powiatu szczecineckiego - karetki życia";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Zachodniopomorskie";"Powiat szczecinecki";"";"760,472.41";"760,472.41";"646,401.54";"646,401.54";"Powiat Szczecinecki";"6731630032";"78-400";"Szczecinek";"Zachodniopomorskie";"Powiat szczecinecki";"76 Infrastruktura ochrony zdrowia";"powiatowa samorządowa jednostka organizacyjna";"00 Nie dotyczy";"POIS.12.01.00-00-057/08-01";"Tak";"2009/10/09";"2009/10/13"
"POIS.12.01.00-00-059/08-00";"Wymiana ambulansu ratunkowego z wyposażeniem medycznym dla Zespołu Ratownictwa Medycznego SP ZOZ w Mławie.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Mazowieckie";"Powiat mławski";"";"362,500.83";"362,500.83";"308,125.70";"308,125.70";"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Mławie";"5691426619";"06-500";"Mława";"Mazowieckie";"Powiat mławski";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-059/08-01";"Tak";"2009/06/26";"2009/07/06"
"POIS.12.01.00-00-060/08-00";"Poprawa skuteczności działania zespołu ratownictwa medycznego w Olesnie poprzez zakup specjalistycznych środków transportu sanitarnego.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Opolskie";"Powiat oleski";"";"751,069.00";"751,069.00";"638,408.65";"638,408.65";"Zespół Opieki Zdrowotnej w Oleśnie";"5761361228";"46-300";"Olesno";"Opolskie";"Powiat oleski";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-060/08-03";"Tak";"2009/06/26";"2009/07/16"
"POIS.12.01.00-00-061/08-00";"Wzrost bezpieczeństwa zdrowotnego poprzez doposażenie Szpitala Powiatowego im. Jana Mikulicza w Biskupcu w specjalistyczny ambulans wraz z wyposażeniem.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Warmińsko-mazurskie";"Powiat olsztyński";"";"340,042.90";"340,042.90";"289,036.46";"289,036.46";"Szpital Powiatowy im. Jana Mikulicza w Biskupcu";"7392955819";"11-300";"Biskupiec";"Warmińsko-mazurskie";"Powiat olsztyński";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-061/08-02";"Tak";"2009/06/30";"2009/07/06"
"POIS.12.01.00-00-099/08-00";"Poprawa efektywności systemu ochrony zdrowia w Wielkopolsce poprzez wymianę ambulansów przez Rejonową Stację Pogotowia Ratunkowego w Poznaniu.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Wielkopolskie";"Powiat poznański";"";"1,938,272.28";"1,938,272.28";"1,647,531.43";"1,647,531.43";"Rejonowa Stacja Pogotowia Ratunkowego Samodzielny Publiczny Zakład Opieki Zdrowotnej w Poznaniu";"7792009143";"60-346";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-099/08-01";"Tak";"2009/06/23";"2009/07/07"
"POIS.12.01.00-00-102/08-00";"Zakup dwóch ambulansów z wyposażeniem dla Podstawowych Zespołów Ratownictwa Medycznego w Powiecie Mrągowskim przez Szpital Powiatowy w Mrągowie.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Warmińsko-mazurskie";"Powiat mrągowski";"";"769,374.62";"763,884.62";"649,300.62";"649,300.62";"Szpital Powiatowy im. Michała Kajki w Mrągowie";"7421836662";"11-700";"Mrągowo";"Warmińsko-mazurskie";"Powiat mrągowski";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-102/08-04";"Tak";"2009/06/25";"2009/07/07"
"POIS.12.01.00-00-105/08-00";"Poprawa efektywności systemu ochrony zdrowia przez zakup Karetki typu ""S"" przez Szpital Tucholski Sp. z o.o.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Kujawsko-pomorskie";"Powiat tucholski";"";"422,557.46";"422,557.46";"359,173.84";"359,173.84";"Szpital Tucholski Sp. z o.o.";"5611455873";"89-500";"Tuchola";"Kujawsko-pomorskie";"Powiat tucholski";"76 Infrastruktura ochrony zdrowia";"niepubliczny zakład opieki zdrowotnej (w tym osoby prowadzące praktyki lekarskie/pielęgniarskie)";"00 Nie dotyczy";"POIS.12.01.00-00-105/08-01";"Tak";"2009/06/30";"2009/07/07"
"POIS.12.01.00-00-117/08-00";"Poprawa jakości i dostępności do systemu ratownictwa medycznego w Szpitalu Powiatowym im.A. Sokołowskiego w Złotowie poprzez wymianę infrastruktury medycznej. ";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Wielkopolskie";"Powiat złotowski";"";"234,759.37";"211,308.97";"179,612.62";"179,612.62";"Szpital Powiatowy im. Alfreda Sokołowskiego w Złotowie";"7671449305";"77-400";"Złotów";"Wielkopolskie";"Powiat złotowski";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-117/08-01";"Tak";"2009/06/29";"2009/07/08"
