"Numer umowy/decyzji";"Tytuł projektu";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Województwo";"Powiat";"Gmina";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"POIS.02.01.00-00-006/08-00";"Regionalny System Gospodarki Odpadami Tczew.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.02.00.00";"POIS.02.01.00";"";"Pomorskie";"Powiat gdański";"";"36,630,062.25";"27,494,247.30";"23,370,110.20";"23,370,110.20";"Zakład Utylizacji Odpadów Stałych Sp. z o.o.";"5932268695";"83-110";"Tczew";"Pomorskie";"Powiat tczewski";"44 Gospodarka odpadami komunalnymi i przemysłowymi";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"POIS.02.01.00-00-006/08-03";"Nie";"2010/05/12";"2010/05/14"
"POIS.02.01.00-00-006/08-00";"Regionalny System Gospodarki Odpadami Tczew.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.02.00.00";"POIS.02.01.00";"";"Pomorskie";"Powiat malborski";"";"36,630,062.25";"27,494,247.30";"23,370,110.20";"23,370,110.20";"Zakład Utylizacji Odpadów Stałych Sp. z o.o.";"5932268695";"83-110";"Tczew";"Pomorskie";"Powiat tczewski";"44 Gospodarka odpadami komunalnymi i przemysłowymi";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"POIS.02.01.00-00-006/08-03";"Nie";"2010/05/12";"2010/05/14"
"POIS.02.01.00-00-006/08-00";"Regionalny System Gospodarki Odpadami Tczew.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.02.00.00";"POIS.02.01.00";"";"Pomorskie";"Powiat nowodworski";"";"36,630,062.25";"27,494,247.30";"23,370,110.20";"23,370,110.20";"Zakład Utylizacji Odpadów Stałych Sp. z o.o.";"5932268695";"83-110";"Tczew";"Pomorskie";"Powiat tczewski";"44 Gospodarka odpadami komunalnymi i przemysłowymi";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"POIS.02.01.00-00-006/08-03";"Nie";"2010/05/12";"2010/05/14"
"POIS.02.01.00-00-006/08-00";"Regionalny System Gospodarki Odpadami Tczew.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.02.00.00";"POIS.02.01.00";"";"Pomorskie";"Powiat tczewski";"";"36,630,062.25";"27,494,247.30";"23,370,110.20";"23,370,110.20";"Zakład Utylizacji Odpadów Stałych Sp. z o.o.";"5932268695";"83-110";"Tczew";"Pomorskie";"Powiat tczewski";"44 Gospodarka odpadami komunalnymi i przemysłowymi";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"POIS.02.01.00-00-006/08-03";"Nie";"2010/05/12";"2010/05/14"
"POIS.02.01.00-00-007/08-00";"Budowa Zakładu Przetwarzania i Unieszkodliwiania Odpadów w Czerwonym Borze, Gmina Zambrów";"Program Operacyjny Infrastruktura i Środowisko";"POIS.02.00.00";"POIS.02.01.00";"";"Podlaskie";"Powiat zambrowski";"";"38,819,469.20";"25,402,852.73";"21,592,424.82";"21,592,424.82";"Gmina Miasto Zambrów";"7231001664";"18-300";"Zambrów";"Podlaskie";"Powiat wysokomazowiecki / Powiat zambrowski";"44 Gospodarka odpadami komunalnymi i przemysłowymi";"wspólnota samorządowa - gmina";"00 Nie dotyczy";"POIS.02.01.00-00-007/08-03";"Nie";"2010/03/24";"2010/03/29"
"POIS.05.01.00-00-027/08-01";"Ochrona podkowca małego w Polsce";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Dolnośląskie";"Powiat kłodzki";"";"943,411.80";"943,411.80";"801,900.00";"801,900.00";"Polskie Towarzystwo Przyjaciół Przyrody ""pro Natura""";"8961000175";"50-449";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"stowarzyszenie";"00 Nie dotyczy";"POIS.05.01.00-00-027/08-09";"Nie";"2010/03/30";"2010/08/27"
"POIS.05.01.00-00-027/08-01";"Ochrona podkowca małego w Polsce";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Dolnośląskie";"Powiat ząbkowicki";"";"943,411.80";"943,411.80";"801,900.00";"801,900.00";"Polskie Towarzystwo Przyjaciół Przyrody ""pro Natura""";"8961000175";"50-449";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"stowarzyszenie";"00 Nie dotyczy";"POIS.05.01.00-00-027/08-09";"Nie";"2010/03/30";"2010/08/27"
"POIS.05.01.00-00-027/08-01";"Ochrona podkowca małego w Polsce";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Małopolskie";"Powiat bocheński";"";"125,788.24";"125,788.24";"106,920.00";"106,920.00";"Polskie Towarzystwo Przyjaciół Przyrody ""pro Natura""";"8961000175";"50-449";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"stowarzyszenie";"00 Nie dotyczy";"POIS.05.01.00-00-027/08-09";"Nie";"2010/03/30";"2010/08/27"
"POIS.05.01.00-00-027/08-01";"Ochrona podkowca małego w Polsce";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Małopolskie";"Powiat chrzanowski";"";"125,788.24";"125,788.24";"106,920.00";"106,920.00";"Polskie Towarzystwo Przyjaciół Przyrody ""pro Natura""";"8961000175";"50-449";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"stowarzyszenie";"00 Nie dotyczy";"POIS.05.01.00-00-027/08-09";"Nie";"2010/03/30";"2010/08/27"
"POIS.05.01.00-00-027/08-01";"Ochrona podkowca małego w Polsce";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Małopolskie";"Powiat gorlicki";"";"125,788.24";"125,788.24";"106,920.00";"106,920.00";"Polskie Towarzystwo Przyjaciół Przyrody ""pro Natura""";"8961000175";"50-449";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"stowarzyszenie";"00 Nie dotyczy";"POIS.05.01.00-00-027/08-09";"Nie";"2010/03/30";"2010/08/27"
