"Numer umowy/decyzji";"Tytuł projektu";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Województwo";"Powiat";"Gmina";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"POIG.08.03.00-04-151/09-00";"""Przeciwdziałanie wykluczeniu cyfrowemu na terenie województwa kujawsko-pomorskiego""";"Program Operacyjny Innowacyjna Gospodarka";"POIG.08.00.00";"POIG.08.03.00";"";"Kujawsko-pomorskie";"";"";"25,738,875.00";"25,738,875.00";"21,878,043.75";"18,596,337.18";"Województwo Kujawsko-Pomorskie";"9561969536";"87-100";"Toruń";"Kujawsko-pomorskie";"Powiat m. Toruń / Powiat toruński";"15 Inne działania mające na celu poprawę dostępu MŚP do TIK i ich wydajne użytkowanie";"wspólnota samorządowa - województwo";"00 Nie dotyczy";"";"";"2010/09/02";"2010/09/08"
"POIS.05.01.00-00-019/08-01";"Ochrona zimowisk i kolonii letnich nietoperzy w granicach wybranych województw. ";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Kujawsko-pomorskie";"";"";"407,640.80";"407,640.80";"407,640.80";"346,494.68";"Regionalna Dyrekcja Ochrony Środowiska w Szczecinie";"8513073563";"70-382";"Szczecin";"Zachodniopomorskie";"Powiat m. Szczecin";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"wojewódzka samorządowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2010/12/09";"2011/03/31"
"POIS.05.01.00-00-019/08-01";"Ochrona zimowisk i kolonii letnich nietoperzy w granicach wybranych województw. ";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Lubuskie";"";"";"407,640.80";"407,640.80";"407,640.80";"346,494.68";"Regionalna Dyrekcja Ochrony Środowiska w Szczecinie";"8513073563";"70-382";"Szczecin";"Zachodniopomorskie";"Powiat m. Szczecin";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"wojewódzka samorządowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2010/12/09";"2011/03/31"
"POIS.05.01.00-00-019/08-01";"Ochrona zimowisk i kolonii letnich nietoperzy w granicach wybranych województw. ";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Pomorskie";"";"";"407,640.80";"407,640.80";"407,640.80";"346,494.68";"Regionalna Dyrekcja Ochrony Środowiska w Szczecinie";"8513073563";"70-382";"Szczecin";"Zachodniopomorskie";"Powiat m. Szczecin";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"wojewódzka samorządowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2010/12/09";"2011/03/31"
"POIS.05.01.00-00-019/08-01";"Ochrona zimowisk i kolonii letnich nietoperzy w granicach wybranych województw. ";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Wielkopolskie";"";"";"407,640.80";"407,640.80";"407,640.80";"346,494.68";"Regionalna Dyrekcja Ochrony Środowiska w Szczecinie";"8513073563";"70-382";"Szczecin";"Zachodniopomorskie";"Powiat m. Szczecin";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"wojewódzka samorządowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2010/12/09";"2011/03/31"
"POIS.05.01.00-00-019/08-01";"Ochrona zimowisk i kolonii letnich nietoperzy w granicach wybranych województw. ";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Zachodniopomorskie";"";"";"407,640.80";"407,640.80";"407,640.80";"346,494.68";"Regionalna Dyrekcja Ochrony Środowiska w Szczecinie";"8513073563";"70-382";"Szczecin";"Zachodniopomorskie";"Powiat m. Szczecin";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"wojewódzka samorządowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2010/12/09";"2011/03/31"
"POIS.05.01.00-00-148/09-00";"Ochrona ex situ zagrożonych i chronionych roślin, dziko rosnących w zachodniej części Polski
";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Dolnośląskie";"";"";"310,055.63";"284,177.00";"241,550.38";"241,550.38";"Leśny Bank Genów Kostrzyca";"6111119546";"58-535";"Miłków";"Dolnośląskie";"Powiat jeleniogórski";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIS.05.01.00-00-148/09-01";"Nie";"2010/08/16";"2010/09/02"
"POIS.05.01.00-00-148/09-00";"Ochrona ex situ zagrożonych i chronionych roślin, dziko rosnących w zachodniej części Polski
";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Kujawsko-pomorskie";"";"";"310,055.63";"284,177.00";"241,550.38";"241,550.38";"Leśny Bank Genów Kostrzyca";"6111119546";"58-535";"Miłków";"Dolnośląskie";"Powiat jeleniogórski";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIS.05.01.00-00-148/09-01";"Nie";"2010/08/16";"2010/09/02"
"POIS.05.01.00-00-148/09-00";"Ochrona ex situ zagrożonych i chronionych roślin, dziko rosnących w zachodniej części Polski
";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Lubuskie";"";"";"310,055.63";"284,177.00";"241,550.38";"241,550.38";"Leśny Bank Genów Kostrzyca";"6111119546";"58-535";"Miłków";"Dolnośląskie";"Powiat jeleniogórski";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIS.05.01.00-00-148/09-01";"Nie";"2010/08/16";"2010/09/02"
"POIS.05.01.00-00-148/09-00";"Ochrona ex situ zagrożonych i chronionych roślin, dziko rosnących w zachodniej części Polski
";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Małopolskie";"";"";"310,055.63";"284,177.00";"241,550.38";"241,550.38";"Leśny Bank Genów Kostrzyca";"6111119546";"58-535";"Miłków";"Dolnośląskie";"Powiat jeleniogórski";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIS.05.01.00-00-148/09-01";"Nie";"2010/08/16";"2010/09/02"
