"id";"Typ";"Nazwa";"Numer umowy/decyzji";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"33";"Cały kraj";"Cały kraj";"";"";"";"";"";3106621152.67;2973881594.6;2910079056.69;2491991667.37;"";"";"";"";"";"";"";"";"";"";"";"";""
"33-1";"Projekt";"Foresight dla energetyki termojądrowej
";"POIG.01.01.01-00-009/08-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.01";"407,900.00";"407,900.00";"407,900.00";"346,715.00";"Instytut Fizyki Plazmy i Laserowej Mikrosyntezy im. Sylwestra Kaliskiego";"5250007193";"01-497";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.01.01-00-009/08-05-K01";"Tak";"2009/10/22";"2009/10/23"
"33-2";"Projekt";"Wsparcie systemu zarządzania badaniami naukowymi oraz ich wynikami";"POIG.01.01.03-00-001/08-00";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.03";"105,000,000.00";"105,000,000.00";"105,000,000.00";"89,250,000.00";"Minister Nauki i Szkolnictwa Wyższego";"7010014467";"00-529";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.01.01.03-00-001/08-03";"Nie";"2009/09/22";"2009/09/23"
"33-3";"Projekt";"Interoperacyjny system zarządzania dokumentami, komunikacji i pracy grupowej klasy ECM.PKWiU 58.29.40";"POIG.01.04.00-30-009/09-00";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.04.00";"";"729,890.00";"612,000.00";"275,400.00";"234,090.00";"Amazis.net sp. z o.o.";"9721068582";"61-695";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"04 Wsparcie na rzecz rozwoju B+RT, w szczególności w MŚP (w tym dostęp do usług związanych z B+RT w ośrodkach badawczych)";"spółka z ograniczoną odpowiedzialnością - mikro przedsiębiorstwo";"00 Nie dotyczy";"POIG.01.04.00-30-009/09-01";"Nie";"2009/11/25";"2009/12/28"
"33-4";"Projekt";"Wspieranie funduszy kapitału podwyższonego ryzyka przez Krajowy Fundusz Kapitałowy";"POIG.03.02.00-00-001/08-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.02.00";"";"646,830,000.00";"646,830,000.00";"646,830,000.00";"549,805,500.00";"Krajowy Fundusz Kapitałowy S.A.";"5262874748";"00-526";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"spółka akcyjna - duże przedsiębiorstwo";"00 Nie dotyczy";"POIG.03.02.00-00-001/08-03";"Nie";"2009/06/25";"2009/06/26"
"33-5";"Projekt";"Interoperacyjny system zarządzania dokumentami, komunikacji i pracy grupowej klasy ECM.PKWiU 58.29.40";"POIG.04.01.00-30-009/09-00";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.01.00";"";"83,570.00";"68,500.00";"40,500.00";"34,425.00";"Amazis.net sp. z o.o.";"9721068582";"61-695";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - mikro przedsiębiorstwo";"00 Nie dotyczy";"";"";"2009/11/25";"2009/12/28"
"33-6";"Projekt";"Wdrożenie innowacyjnych usług w oparciu o sieć dostępową w technologii pasywnej sieci optycznej PON";"POIG.04.04.00-02-002/09-03";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"55,940,000.00";"55,588,984.21";"22,235,593.68";"18,900,254.63";"Telefonia DIALOG Spółka Akcyjna";"6921990816";"50-136";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka akcyjna - duże przedsiębiorstwo";"00 Nie dotyczy";"";"";"2009/11/26";"2010/11/04"
"33-7";"Projekt";"Poprawa konkurencyjności przedsiębiorstw poprzez wzornictwo (innowacja procesowa i produktowa).";"POIG.05.02.00-00-001/08-00";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.02.00";"";"21,150,447.00";"17,970,000.00";"17,970,000.00";"15,274,500.00";"Instytut Wzornictwa Przemysłowego Sp. z o.o.";"5250012484";"00-236";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"spółka z ograniczoną odpowiedzialnością - małe przedsiębiorstwo";"00 Nie dotyczy";"POIG.05.02.00-00-001/08-14";"Nie";"2009/03/25";"2009/03/30"
"33-8";"Projekt";"Droga do Polski Przedsiębiorczej";"POIG.05.02.00-00-003/09-00";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.02.00";"";"28,954,261.44";"25,150,000.00";"25,150,000.00";"21,377,500.00";"Akademickie Inkubatory Przedsiębiorczości";"5242495143";"00-672";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"fundacja";"00 Nie dotyczy";"POIG.05.02.00-00-003/09-09";"Nie";"2009/08/14";"2009/09/16"
"33-9";"Projekt";"Promujmy Polskę Razem";"POIG.06.03.00-00-001/09-00";"Program Operacyjny Innowacyjna Gospodarka";"POIG.06.00.00";"POIG.06.03.00";"";"141,780,000.00";"141,780,000.00";"141,780,000.00";"120,513,000.00";"Polska Organizacja Turystyczna";"5252150196";"00-613";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"57 Inne wsparcie na rzecz wzmocnienia usług turystycznych";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIG.06.03.00-00-001/09-19";"Nie";"2009/08/12";"2009/08/12"
