"id";"Nazwa";"Numer umowy/decyzji";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"1";"Mazowieckie";"";"";"";"";"";3501646553.2;2618950928.6;2611953638.04;1832542297.17;"";"";"";"";"";"";"";"";"";"";"";"";""
"1-1";"Powiat m. st. Warszawa";"";"";"";"";"";383942353.93;273784553.83;267896876.19;189816221.9;"";"";"";"";"";"";"";"";"";"";"";"";""
"1-1-1";"Rozwój centrum IT kluczem do wdrożenia nowych rozwiązań biznesowych";"POIG.04.05.02-00-090/09-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.05.00";"POIG.04.05.02";"6,935,807.86";"6,742,920.00";"2,022,876.00";"1,719,444.60";"SII ";"5252352907";"02-512";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - duże przedsiębiorstwo";"00 Nie dotyczy";"";"";"2011/05/18";"2011/05/23"
"2";"Dolnośląskie";"";"";"";"";"";42597245.9;26666323.62;24120675.07;22130108.45;"";"";"";"";"";"";"";"";"";"";"";"";""
"2-1";"Powiat wrocławski";"";"";"";"";"";13138380.0;10829000.0;10658950.0;9060107.5;"";"";"";"";"";"";"";"";"";"";"";"";""
"2-1-1";"Rozwój powiązań kooperacyjnych Klastra NUTRIBIOMED zmierzających do komercjalizacji innowacyjnych rozwiązań";"POIG.05.01.00-00-007/08-08";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.01.00";"";"13,138,380.00";"10,829,000.00";"10,658,950.00";"9,060,107.50";"Wrocławski Park Technologiczny S.A.";"8992218633";"54-424";"Wrocław";"";"";"03 Transfer technologii i udoskonalanie sieci współpracy między MŚP, między MŚP a innymi przedsiębiorstwami, uczelniami, wszelkiego rodzaju instytucjami na poziomie szkolnictwa pomaturalnego, władzami regionalnymi, ośrodkami badawczymi oraz biegunami naukowymi i technologicznymi (parkami naukowymi i technologicznymi, technopoliami itd.)";"spółka akcyjna - duże przedsiębiorstwo";"00 Nie dotyczy";"POIG.05.01.00-00-007/08-14";"Tak";"2011/04/20";"2011/05/30"
"2-2";"Powiat złotoryjski";"";"";"";"";"";3072346.0;3072346.0;2611494.1;2219769.98;"";"";"";"";"";"";"";"";"";"";"";"";""
"2-2-1";"Złota sieć - Przeciwdziałanie wykluczeniu cyfrowemu w powiecie złotoryjskim";"POIG.08.03.00-02-096/09-00";"Program Operacyjny Innowacyjna Gospodarka";"POIG.08.00.00";"POIG.08.03.00";"";"3,072,346.00";"3,072,346.00";"2,611,494.10";"2,219,769.98";"powiat złotoryjski";"6941533157";"59-500";"Złotoryja";"Dolnośląskie";"Powiat złotoryjski";"15 Inne działania mające na celu poprawę dostępu MŚP do TIK i ich wydajne użytkowanie";"wspólnota samorządowa - powiat";"00 Nie dotyczy";"";"";"2011/02/04";"2011/02/10"
"3";"Lubelskie";"";"";"";"";"";15645690.95;15645690.95;13652235.52;13022154.84;"";"";"";"";"";"";"";"";"";"";"";"";""
"3-1";"Powiat puławski";"";"";"";"";"";1765922.27;1765922.27;1501033.92;1362693.08;"";"";"";"";"";"";"";"";"";"";"";"";""
