"id";"Nazwa";"Numer umowy/decyzji";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"1";"Mazowieckie";"";"";"";"";"";1130000.0;1130000.0;960500.0;960500.0;"";"";"";"";"";"";"";"";"";"";"";"";""
"1-1";"PLAN DZIAŁAŃ POMOCY TECHNICZNEJ NA LATA 2007 - 2008 W RAMACH REGIONALNEGO PROGRAMU OPERACYJNEGO WOJEWÓDZTWA MAZOWIECKIEGO NA LATA 2007 - 2013. CZĘŚĆ A PLAN DZIAŁAŃ POMOCY TECHNICZNEJ RPO NA 2007 r.";"RPMA.08.01.00-14-004/07-00";"Regionalny Program Operacyjny Województwa Mazowieckiego";"RPMA.08.00.00";"RPMA.08.01.00";"";"930,000.00";"930,000.00";"790,500.00";"790,500.00";"Urząd Marszałkowski Województwa Mazowieckiego";"5252087227";"03-719";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"00 Nie dotyczy";"RPMA.08.01.00-14-004/07-01";"Tak";"2007/10/23";"2008/09/02"
"1-2";"PLAN DZIAŁAŃ POMOCY TECHNICZNEJ NA LATA 2007 - 2008 W RAMACH REGIONALNEGO PROGRAMU OPERACYJNEGO WOJEWÓDZTWA MAZOWIECKIEGO 2007 - 2013. CZĘŚĆ A PLAN DZIAŁAŃ POMOCY TECHNICZNEJ RPO NA 2007 r.";"RPMA.08.02.00-14-001/07-01";"Regionalny Program Operacyjny Województwa Mazowieckiego";"RPMA.08.00.00";"RPMA.08.02.00";"";"200,000.00";"200,000.00";"170,000.00";"170,000.00";"Mazowiecka Jednostka Wdrażania Programów Unijnych";"1132669019";"03-301";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wojewódzka samorządowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2007/10/30";"2009/02/26"
"2";"Małopolskie";"";"";"";"";"";27535901.9;27389979.9;23281484.3;23281484.3;"";"";"";"";"";"";"";"";"";"";"";"";""
"2-1";"Przygotowanie i pełnienie funkcji Instytucji Zarządzającej MRPO 2007 - 2013";"RPMP.09.01.00-12-001/07-00";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"94,516.00";"94,516.00";"80,338.00";"80,338.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-001/07-01";"Tak";"2007/12/17";"2008/08/18"
"2-2";"Organizacja i obsługa posiedzeń Regionalnego Komitetu Monitorującego";"RPMP.09.01.00-12-002/07-00";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"29,181.00";"15,000.00";"12,750.00";"12,750.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-002/07-01";"Tak";"2007/02/26";"2008/08/19"
"2-3";"Budowa i rozwój Regionalnego Systemu Informatycznego dla MRPO";"RPMP.09.01.00-12-004/07-00";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"123,500.00";"123,500.00";"104,975.00";"104,975.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-004/07-01";"Tak";"2007/10/02";"2008/08/19"
"2-4";"Pomoc Techniczna MRPO";"RPMP.09.01.00-12-005/07-00";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"4,737,000.00";"4,737,000.00";"4,026,450.00";"4,026,450.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-005/07-02";"Tak";"2007/02/26";"2008/08/19"
"2-5";"Programowanie rozwoju województwa";"RPMP.09.01.00-12-006/07-00";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"44,673.90";"44,673.90";"37,973.30";"37,973.30";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-006/07-01";"Tak";"2007/09/20";"2008/08/19"
"2-6";"Ewaluacja MRPO i Małopolski Project Pipeline - Priorytet 9 PT MRPO";"RPMP.09.01.00-12-007/08-01";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"1,715,000.00";"1,715,000.00";"1,457,750.00";"1,457,750.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-007/08-18";"Tak";"2007/12/17";"2008/08/19"
