"type";"numer";"parent";"idef";"czesc";"level";"tresc";"pozycja";"total"
"Część 1";1;;"01";"1";"a";"KANCELARIA PREZYDENTA RP";1;171524
"Dział 751";751;"01";"01-751";"1";"b";"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;129524
"Rozdział 75101";75101;"01-751";"01-751-01";"1";"c";"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa";3;102181
"Rozdział 75103";75103;"01-751";"01-751-03";"1";"c";"Biuro Bezpieczeństwa  Narodowego";4;14800
"Rozdział 75106";75106;"01-751";"01-751-06";"1";"c";"Odznaczenia państwowe";5;10153
"Rozdział 75195";75195;"01-751";"01-751-95";"1";"c";"Pozostała działalność";6;2390
"Dział 921";921;"01";"01-921";"1";"b";"Kultura i ochrona dziedzictwa narodowego";7;42000
"Rozdział 92123";92123;"01-921";"01-921-23";"1";"c";"Narodowy Fundusz Rewaloryzacji Zabytków Krakowa";8;42000
"Część 2";2;;"02";"2";"a";"KANCELARIA SEJMU";1;430780
"Dział 751";751;"02";"02-751";"2";"b";"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;430780
"Rozdział 75101";75101;"02-751";"02-751-01";"2";"c";"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa";3;430780
"Część 3";3;;"03";"3";"a";"KANCELARIA SENATU";1;176212
"Dział 751";751;"03";"03-751";"3";"b";"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;176212
"Rozdział 75101";75101;"03-751";"03-751-01";"3";"c";"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa";3;101212
"Rozdział 75195";75195;"03-751";"03-751-95";"3";"c";"Pozostała działalność (Opieka nad Polonią i Polakami za granicą)";4;75000
"Część 4";4;;"04";"4";"a";"SĄD NAJWYŻSZY";1;88161
"Dział 751";751;"04";"04-751";"4";"b";"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;68885
"Rozdział 75102";75102;"04-751";"04-751-02";"4";"c";"Naczelne organy sądownictwa";3;68885
"Dział 753";753;"04";"04-753";"4";"b";"Obowiązkowe ubezpieczenia społeczne";4;19276
"Rozdział 75312";75312;"04-753";"04-753-12";"4";"c";"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";5;19276
"Część 5";5;;"05";"5";"a";"NACZELNY SĄD ADMINISTRACYJNY";1;373452
"Dział 751";751;"05";"05-751";"5";"b";"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;352769
"Rozdział 75102";75102;"05-751";"05-751-02";"5";"c";"Naczelne organy sądownictwa";3;352769
"Dział 753";753;"05";"05-753";"5";"b";"Obowiązkowe ubezpieczenia społeczne";4;20683
"Rozdział 75312";75312;"05-753";"05-753-12";"5";"c";"Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne";5;20683
"Część 6";6;;"06";"6";"a";"TRYBUNAŁ KONSTYTUCYJNY";1;26840
"Dział 751";751;"06";"06-751";"6";"b";"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";2;22138
"Rozdział 75102";75102;"06-751";"06-751-02";"6";"c";"Naczelne organy sądownictwa";3;22138
