"template_name";"english";"polish";"czech"
"rest_title";"Raw Salad: raw data in a variety of flavors";"Raw Salad: surowe dane w różnych smakach";""
"error_info";"Oops ... an error occurred.";"Ups... nastąpił błąd.";""
"error_info_link";"Return to home page";"Wróć do strony głównej";""
"app_title";"Open data";"Otwarte dane";""
"app_tm_choose";"Collections of data";"Kolekcje danych";""
"app_search";"Search";"Wyszukaj";""
"app_download";"Download";"Pobierz";""
"app_panel_title";"The available data collections";"Dostępne kolekcje danych";""
"app_pl_choose_panel_desc";"Select collection of data that you want to view.";"Wybierz kolekcję danych, którą chcesz przeglądać.";""
"app_pl_search_panel_desc";"Search for specific information in our database.";"Wyszukaj konkretne informacje w naszej bazie danych.";""
"app_pl_sr_form_panel_placeholder";"Keyword";"Szukana fraza";""
"app_pl_sr_full";"Select collections of data you want to search.";"Wybierz kolekcje danych, które chcesz przeszukać.";""
"app_select";"Select all";"Zaznacz wszystkie";""
"app_deselect";"Deselect all";"Odznacz wszystkie";""
"app_pl_sr_more";"Advanced";"Zaawansowane";""
"app_pl_sr_button";"Search";"Szukaj";""
"app_pl_sr_results_count";"number of occurrences";"liczba wystąpień";""
"app_pl_sr_results_coll";"collection";"kolekcja";""
"app_pl_download_panel_title";"Download the data";"Pobierz dane";""
"app_pl_download_panel_desc";"Select data sets, and then click &#8222;Download&#8221; to save them to disk.";"Zaznacz zbiory danych i kliknij &#8222;Pobierz&#8221;, by zapisać je na dysku.";""
"app_pl_dl_sheets";"Data sheets in open CSV files";"Arkusze danych w otwartych plikach CSV";""
"app_pl_dl_full";"The full collection of data in open CSV files";"Pełne kolekcje danych w otwartych plikach CSV";""
"app_pl_dl_hidden_form";"Close panel";"Zamknij panel";""
"app_app_tbs_table";"table";"tabela";""
"app_app_tbs_share";"share";"udostępnij";""
"app_app_tb_save_sheet";"Copy the worksheet";"Kopiuj do arkusza";""
"app_app_tb_tl_rename_button";"Change the name";"Zmień nazwę";""
"app_app_tb_tl_clear_button";"Clear the table";"Wyczyść tabelę";""
"app_sort";"Sort";"Sortuj";""
"app_filter";"Filter";"Filtruj";""
"app_select_column";"Select the column";"Wybierz kolumnę";""
"app_app_tb_tl_sort_form_order";"Choose the order";"Wybierz porządek";""
"app_add_key";"Add another key";"Dodaj kolejny klucz";""
"app_app_tb_tl_filter_form_operation";"Choose an operation";"Wybierz operację";""
"app_app_tb_tl_filter_form_content";"Type in the content filter";"Wpisz treść filtra";""
"app_app_tb_tl_columns_button";"Add / Remove Columns";"Dodaj/Usuń kolumny";""
"app_app_tb_tl_lt_submit";"Add/Remove";"Dodaj/Usuń";""
"app_app_sh_panel";"Select the worksheets you want to share with others.";"Wybierz arkusze, które chcesz udostępnić innym.";""
"app_app_sh_submit";"Generate permalink";"Generuj permalink";""
"old_preloader";"Your browser is not able to show the content according to the latest standards.
  Update your browser to see the page.";"Twoja przeglądarka nie potrafi pokazywać treści zgodnych z najnowszymi standardami.
 Zaktualizuj swoją przeglądarkę, żeby zobaczyć stronę.";""
"old_warning_more_info";"Learn more";"Dowiedz się więcej";""
"js_save_permalink_preloader";"I record sheets in the database. <br /> It may take a while ...";"Zapisuję arkusze w bazie danych.<br />To może chwilę potrwać...";""
"js_search_not_found";"Unfortunately the search term is not among the data collected here";"Niestety wyszukiwane hasło nie znajduje się wśród zebranych tutaj danych";""
"js_search_too_many_results";"Too many results - unable to show them";"Zbyt wiele wyników - nie sposób ich wyświetlić";""
"js_search_show_advanced";"Show Advanced";"Pokaż zaawansowane";""
"js_loading_data";"Loading data from database";"Wczytuję dane z bazy danych";""
"js_selected_header";"ID;Parent;Level;";"ID;Rodzic;Poziom;";""
"js_sheet";"Sheet";"Arkusz";""
"js_info_panel_header";"This panel contains additional information does not fall within the basic structure of the data.";"Ten panel zawiera informacje dodatkowe nie mieszczące się w podstawowej strukturze danych.";""
"js_info_basic_val";"base_value";"wartosc_bazowa";""
"js_info_basic_val_label";"The base value";"Wartosc bazowa";""
"js_info_cur_val";"current_value";"wartosc_rok_obec";""
"js_info_cur_val_label";"The value of the current year";"Wartosc rok obecny";""
"js_sort_ascending";"Ascending";"Rosnąco";""
"js_sort_descending";"Descending";"Malejąco";""
"js_filter_contain";"Contains";"Zawiera";""
"js_filter_begin";"Begins with";"Zaczyna się od";""
"js_filter_not_contain";"Does not contain";"Nie zawiera";""
"js_filter_not_begin";"Does not begin with";"Nie zaczyna się od";""
"js_search_nothing";"Nothing was found";"Nic nie znaleziono";""
"js_search_title";"The results in collections of data";"Wyniki w kolekcjach danych";""
"js_unload_warning";"Leaving the site will result in data loss";"Opuszczenie strony spowoduje utratę danych";""
"js_choose_panel_text";"Choose one of the available data collection.";"Wybierz jedną z dostępnych kolekcji danych.";""
"js_choose_panel_col";"available collections";"Dostępne kolekcje";""
"js_email_sent";"Email has been sent!";"Email został wysłany!";""
"js_search_close_advanced";"Close advanced";"Zamknij zaawansowane";""
"js_search_preloader";"Searching";"Szukam";""
"js_restore_preloader";"Loading data - this may take a while";"Wczytuję dane - to może chwilę potrwać";""
"js_choose_panel_see";"View data";"Zobacz dane";""
"js_choose_panel_issue";"Select one of the issues of data.";"Wybierz jedno z wydań danych.";""
"up_type";"Type";"Typ";""
"up_name";"Name";"Nazwa";""
"up_parent";"Parent";"Rodzic";""
"up_level";"Level";"Poziom";""
