ID;Rodzic;Poziom;Numer;Część;Typ;Treść;Pozycja;Dotacje i subwencje;Świadczenia na rzecz osób fizycznych;Wydatki bieżące jednostek budżetowych;Wydatki majątkowe;Wydatki na obsługę długu Skarbu Państwa;Środki własne Unii Europejskiej;Współfinansowanie projektów z udziałem środków Unii Europejskiej;OGÓŁEM
01;;a;1;1;Część 1;KANCELARIA PREZYDENTA RP;1;42000;953;121721;6850;0;0;0;171524
01-751;01;b;751;1;Dział 751;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;0;953;121721;6850;0;0;0;129524
01-751-01;01-751;c;75101;1;Rozdział 75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;3;0;270;95361;6550;0;0;0;102181
01-751-03;01-751;c;75103;1;Rozdział 75103;Biuro Bezpieczeństwa  Narodowego;4;0;100;14400;300;0;0;0;14800
01-751-06;01-751;c;75106;1;Rozdział 75106;Odznaczenia państwowe;5;0;0;10153;0;0;0;0;10153
01-751-95;01-751;c;75195;1;Rozdział 75195;Pozostała działalność;6;0;583;1807;0;0;0;0;2390
01-921;01;b;921;1;Dział 921;Kultura i ochrona dziedzictwa narodowego;7;42000;0;0;0;0;0;0;42000
01-921-23;01-921;c;92123;1;Rozdział 92123;Narodowy Fundusz Rewaloryzacji Zabytków Krakowa;8;42000;0;0;0;0;0;0;42000
02;;a;2;2;Część 2;KANCELARIA SEJMU;1;0;80741;328763;21276;0;0;0;430780
02-751;02;b;751;2;Dział 751;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;0;80741;328763;21276;0;0;0;430780
02-751-01;02-751;c;75101;2;Rozdział 75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;3;0;80741;328763;21276;0;0;0;430780
03;;a;3;3;Część 3;KANCELARIA SENATU;1;62000;17858;78454;17900;0;0;0;176212
03-751;03;b;751;3;Dział 751;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;62000;17858;78454;17900;0;0;0;176212
03-751-01;03-751;c;75101;3;Rozdział 75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;3;0;17858;78454;4900;0;0;0;101212
03-751-95;03-751;c;75195;3;Rozdział 75195;Pozostała działalność (Opieka nad Polonią i Polakami za granicą);4;62000;0;0;13000;0;0;0;75000
04;;a;4;4;Część 4;SĄD NAJWYŻSZY;1;0;19459;66386;2316;0;0;0;88161
04-751;04;b;751;4;Dział 751;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;0;183;66386;2316;0;0;0;68885
04-751-02;04-751;c;75102;4;Rozdział 75102;Naczelne organy sądownictwa;3;0;183;66386;2316;0;0;0;68885
04-753;04;b;753;4;Dział 753;Obowiązkowe ubezpieczenia społeczne;4;0;19276;0;0;0;0;0;19276
04-753-12;04-753;c;75312;4;Rozdział 75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;5;0;19276;0;0;0;0;0;19276
05;;a;5;5;Część 5;NACZELNY SĄD ADMINISTRACYJNY;1;0;20953;327736;24763;0;0;0;373452
05-751;05;b;751;5;Dział 751;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;0;270;327736;24763;0;0;0;352769
05-751-02;05-751;c;75102;5;Rozdział 75102;Naczelne organy sądownictwa;3;0;270;327736;24763;0;0;0;352769
05-753;05;b;753;5;Dział 753;Obowiązkowe ubezpieczenia społeczne;4;0;20683;0;0;0;0;0;20683
05-753-12;05-753;c;75312;5;Rozdział 75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;5;0;20683;0;0;0;0;0;20683
06;;a;6;6;Część 6;TRYBUNAŁ KONSTYTUCYJNY;1;0;4730;21660;450;0;0;0;26840
06-751;06;b;751;6;Dział 751;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;0;28;21660;450;0;0;0;22138
