ID;Rodzic;Poziom;Typ;Nazwa;Część;Część w budźecie księgowym;Budżet Państwa
0001;;a;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;;;1343628
0001-0001;0001;b;Zadanie 1.1;Obsługa merytoryczna i kancelaryjno-biurowa Prezydenta  Rzeczypospolitej Polskiej;;;145410
0001-0001-0001;0001-0001;c;Podzadanie 1.1.1;Obsługa i koordynacja urzędu Prezydenta RP;;;139740
0001-0001-0001-0001;0001-0001-0001;d;Dysponent;Kancelaria Prezydenta RP;01;;139740
0001-0001-0002;0001-0001;c;Podzadanie 1.1.2;Obsługa prawna urzędu Prezydenta RP;;;5670
0001-0001-0002-0001;0001-0001-0002;d;Dysponent;Kancelaria Prezydenta RP;01;;5670
0001-0002;0001;b;Zadanie 1.2;Obsługa Parlamentu i jego organów w zakresie merytorycznym i organizacyjnym;;;476507
0001-0002-0001;0001-0002;c;Podzadanie 1.2.1;Wsparcie merytoryczne parlamentarzystów;;;148989
0001-0002-0001-0001;0001-0002-0001;d;Dysponent;Kancelaria Sejmu;02;;133183
0001-0002-0001-0002;0001-0002-0001;d;Dysponent;Kancelaria Senatu;03;;15806
0001-0002-0002;0001-0002;c;Podzadanie 1.2.2;Zapewnianie warunków wykonywania mandatu posła i senatora;;;327518
0001-0002-0002-0001;0001-0002-0002;d;Dysponent;Kancelaria Sejmu;02;;277277
0001-0002-0002-0002;0001-0002-0002;d;Dysponent;Kancelaria Senatu;03;;50241
0001-0003;0001;b;Zadanie 1.3;Obsługa merytoryczna i kancelaryjno-biurowa Prezesa Rady Ministrów i Rady Ministrów;;;128715
0001-0003-0001;0001-0003;c;Podzadanie 1.3.1;Obsługa i koordynacja prac rządu;;;83878
0001-0003-0001-0001;0001-0003-0001;d;Dysponent;Kancelaria Prezesa Rady Ministrów;16;;83878
0001-0003-0002;0001-0003;c;Podzadanie 1.3.2;Obsługa prawna Rady Ministrów;;;20411
0001-0003-0002-0001;0001-0003-0002;d;Dysponent;Rządowe Centrum Legislacji;75;;20411
0001-0003-0003;0001-0003;c;Podzadanie 1.3.3;Zarządzanie korpusem służby cywilnej oraz podnoszenie jakości pracy w urzędach administracji rządowej;;;19919
0001-0003-0003-0001;0001-0003-0003;d;Dysponent;Kancelaria Prezesa Rady Ministrów;16;;19919
0001-0003-0004;0001-0003;c;Podzadanie 1.3.4;Redagowanie i udostępnianie Dziennika Ustaw Rzeczypospolitej Polskiej oraz Dziennika Urzędowego Rzeczypospolitej Polskiej ``Monitor Polski``;;;4507
0001-0003-0004-0001;0001-0003-0004;d;Dysponent;Rządowe Centrum Legislacji;75;;4507
0001-0004;0001;b;Zadanie 1.4;Obsługa Trybunału Konstytucyjnego w zakresie merytorycznym i organizacyjnym;;;26200
0001-0004-0001;0001-0004;c;Podzadanie 1.4.1;Działalność orzecznicza Trybunału Konstytucyjnego;;;26200
0001-0004-0001-0001;0001-0004-0001;d;Dysponent;Trybunał Konstutucyjny;06;;26200
0001-0005;0001;b;Zadanie 1.5;Organizacja i przeprowadzanie wyborów;;;2115
0001-0005-0002;0001-0005;c;Podzadanie 1.5.2;Wybory do Sejmu i Senatu;;;0
0001-0005-0002-0001;0001-0005-0002;d;Dysponent;Krajowe Biuro Wyborcze;11;;0
0001-0005-0004;0001-0005;c;Podzadanie 1.5.4;Wybory do rad gmin, rad powiatów i sejmików województw, wybory wójtów, burmistrzów i prezydentów miast oraz referenda gminne, powiatowe i wojewódzkie;;;523
0001-0005-0004-0001;0001-0005-0004;d;Dysponent;Krajowe Biuro Wyborcze;11;;0
0001-0005-0004-0002;0001-0005-0004;d;Dysponent;Wojewodowie;85;;523
0001-0005-0005;0001-0005;c;Podzadanie 1.5.5;Referenda ogólnokrajowe i konstytucyjne;;;0
0001-0005-0005-0001;0001-0005-0005;d;Dysponent;Krajowe Biuro Wyborcze;11;;0
0001-0005-0006;0001-0005;c;Podzadanie 1.5.6;Finansowanie partii politycznych;;;1592
0001-0005-0006-0001;0001-0005-0006;d;Dysponent;Krajowe Biuro Wyborcze;11;;872
0001-0005-0006-0002;0001-0005-0006;d;Dysponent;Ministerstwo Finansów;19;;720
0001-0006;0001;b;Zadanie 1.6;Nadzór nad systemem zamówień publicznych;;;12665
0001-0006-0001;0001-0006;c;Podzadanie 1.6.1;Nadzór oraz w szczególności dokonywanie kontroli procesu udzielania zamówień w zakresie przewidzianym ustawą;;;6525
0001-0006-0001-0001;0001-0006-0001;d;Dysponent;Urząd Zamówień Publicznych;49;;6525
0001-0006-0002;0001-0006;c;Podzadanie 1.6.2;System odwołań;;;6140
0001-0006-0002-0001;0001-0006-0002;d;Dysponent;Urząd Zamówień Publicznych;49;;6140
0001-0007;0001;b;Zadanie 1.7;Ocena działalności organów administracji publicznej, Narodowego Banku Polskiego oraz jednostek organizacyjnych wydatkujących środki publiczne z punktu widzenia ustawowych kryteriów NIK;;;186079
0001-0007-0001;0001-0007;c;Podzadanie 1.7.1;Przygotowanie i wykonanie kontroli oraz upublicznienie ich wyników;;;174603
0001-0007-0001-0001;0001-0007-0001;d;Dysponent;Najwyższa Izba Kontroli;07;;174603
0001-0007-0002;0001-0007;c;Podzadanie 1.7.2;Przygotowanie analizy wykonania budżetu państwa i założeń polityki pieniężnej oraz innych opracowań sektorowych;;;1394
0001-0007-0002-0001;0001-0007-0002;d;Dysponent;Najwyższa Izba Kontroli;07;;1394
0001-0007-0003;0001-0007;c;Podzadanie 1.7.3;Wykonywanie niekontrolnych funkcji naczelnego organu kontroli państwowej;;;10082
0001-0007-0003-0001;0001-0007-0003;d;Dysponent;Najwyższa Izba Kontroli;07;;10082
0001-0008;0001;b;Zadanie 1.8;Ochrona wolności słowa, prawa do informacji oraz interesu publicznego w radiofonii i telewizji;;;10775
0001-0008-0001;0001-0008;c;Podzadanie 1.8.1;Koncesje na rozpowszechnianie programów radiowych i telewizyjnych, rejestrowanie programów rozprowadzanych oraz prowadzenie wykazu usług na żądanie;;;3835
