ID;Rodzic;Poziom;Typ;Treść;Budżet Państwa
0001;;a;Dysponent;Agencja Bezpieczeństwa Wewnętrznego;500731
0001-0001;0001;b;FUNKCJA 2;BEZPIECZEŃSTWO WEWNĘTRZNE I PORZĄDEK PUBLICZNY;500697
0001-0001-0001;0001-0001;c;Zadanie 2.1;Ochrona obywateli i utrzymanie porządku publicznego;500697
0001-0001-0001-0001;0001-0001-0001;d;Podzadanie 2.1.1;Zapewnienie bezpieczeństwa wewnętrznego państwa;500697
0001-0001-0001-0001-0001;0001-0001-0001-0001;e;Część 57;AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO;500697
0001-0002;0001;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;34
0001-0002-0001;0001-0002;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;34
0001-0002-0001-0001;0001-0002-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;34
0001-0002-0001-0001-0001;0001-0002-0001-0001;e;Część 57;AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO;34
0001-0003;0001;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;0
0001-0003-0001;0001-0003;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;0
0001-0003-0001-0001;0001-0003-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;0
0001-0003-0001-0001-0001;0001-0003-0001-0001;e;Część 57;AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO;0
0002;;a;Dysponent;Agencja Wywiadu;148671
0002-0001;0002;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;148671
0002-0001-0001;0002-0001;c;Zadanie 11.3;Wsparcie wywiadowcze i ochrona kontrwywiadowcza;148671
0002-0001-0001-0001;0002-0001-0001;d;Podzadanie 11.3.1;Wsparcie wywiadowcze;148671
0002-0001-0001-0001-0001;0002-0001-0001-0001;e;Część 59;AGENCJA WYWIADU;148671
0003;;a;Dysponent;Centralne Biuro Antykorupcyjne;108049
0003-0001;0003;b;FUNKCJA 2;BEZPIECZEŃSTWO WEWNĘTRZNE I PORZĄDEK PUBLICZNY;108039
0003-0001-0001;0003-0001;c;Zadanie 2.2;Redukowanie przestępczości i działania na rzecz poprawy społecznego poczucia bezpieczeństwa;108039
0003-0001-0001-0001;0003-0001-0001;d;Podzadanie 2.2.3;Zapobieganie przestępczości i aspołecznym zachowaniom oraz przeciwdziałanie przemocy i patologiom społecznym;108039
0003-0001-0001-0001-0001;0003-0001-0001-0001;e;Część 56;CENTRALNE BIURO ANTYKORUPCYJNE;108039
0003-0002;0003;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;10
0003-0002-0001;0003-0002;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;10
0003-0002-0001-0001;0003-0002-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;10
0003-0002-0001-0001-0001;0003-0002-0001-0001;e;Część 56;CENTRALNE BIURO ANTYKORUPCYJNE;10
0004;;a;Dysponent;Generalny Inspektor Ochrony Danych Osobowych;15068
0004-0001;0004;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;15068
0004-0001-0001;0004-0001;c;Zadanie 16.6;Ochrona Praw Obywatelskich i Praw Dziecka;15068
0004-0001-0001-0001;0004-0001-0001;d;Podzadanie 16.6.5;Ochrona danych osobowych;15068
0004-0001-0001-0001-0001;0004-0001-0001-0001;e;Część 10;GENERALNY INSPEKTOR OCHRONY DANYCH OSOBOWYCH;15068
0005;;a;Dysponent;Główny Urząd Miar;127608
0005-0001;0005;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;127606
0005-0001-0001;0005-0001;c;Zadanie 6.5;Wykonywanie czynności z dziedziny metrologii i probiernictwa;127606
0005-0001-0001-0001;0005-0001-0001;d;Podzadanie 6.5.1;Wykonywanie czynności z dziedziny metrologii na potrzeby podmiotów funkcjonujących w gospodarce;115876
0005-0001-0001-0001-0001;0005-0001-0001-0001;e;Część 64;GŁÓWNY URZĄD MIAR;115876
0005-0001-0001-0002;0005-0001-0001;d;Podzadanie 6.5.2;Badanie i cechowanie wyrobów z metali szlachetnych oraz nadzór nad obrotem tymi wyrobami;11138
0005-0001-0001-0002-0001;0005-0001-0001-0002;e;Część 64;GŁÓWNY URZĄD MIAR;11138
0005-0001-0001-0003;0005-0001-0001;d;Podzadanie 6.5.3;Wykonywanie czynności z zakresu kas rejestrujących na potrzeby podmiotów funkcjonujących w gospodarce;592
0005-0001-0001-0003-0001;0005-0001-0001-0003;e;Część 64;GŁÓWNY URZĄD MIAR;592
0005-0002;0005;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;2
0005-0002-0001;0005-0002;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;2
0005-0002-0001-0001;0005-0002-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;2
0005-0002-0001-0001-0001;0005-0002-0001-0001;e;Część 64;GŁÓWNY URZĄD MIAR;2
0006;;a;Dysponent;Główny Urząd Statystyczny;395897
0006-0001;0006;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;395870
0006-0001-0001;0006-0001;c;Zadanie 6.10;Statystyka publiczna;395870
0006-0001-0001-0001;0006-0001-0001;d;Podzadanie 6.10.1;Organizowanie i prowadzenie badań statystycznych;276104
0006-0001-0001-0001-0001;0006-0001-0001-0001;e;Część 58;GŁÓWNY URZĄD STATYSTYCZNY;276104
0006-0001-0001-0002;0006-0001-0001;d;Podzadanie 6.10.2;Badania i analizy statystyczne;19203
0006-0001-0001-0002-0001;0006-0001-0001-0002;e;Część 58;GŁÓWNY URZĄD STATYSTYCZNY;19203
