ID;Rodzic;Poziom;Typ;Nazwa;Część;Część w budźecie księgowym;Środki europejskie
0001;;a;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;;;10646
0001-0001;0001;b;Zadanie 1.1;Obsługa merytoryczna i kancelaryjno-biurowa Prezydenta  Rzeczypospolitej Polskiej;;;0
0001-0001-0001;0001-0001;c;Podzadanie 1.1.1;Obsługa i koordynacja urzędu Prezydenta RP;;;0
0001-0001-0001-0001;0001-0001-0001;d;Dysponent;Kancelaria Prezydenta RP;01;;0
0001-0001-0002;0001-0001;c;Podzadanie 1.1.2;Obsługa prawna urzędu Prezydenta RP;;;0
0001-0001-0002-0001;0001-0001-0002;d;Dysponent;Kancelaria Prezydenta RP;01;;0
0001-0002;0001;b;Zadanie 1.2;Obsługa Parlamentu i jego organów w zakresie merytorycznym i organizacyjnym;;;0
0001-0002-0001;0001-0002;c;Podzadanie 1.2.1;Wsparcie merytoryczne parlamentarzystów;;;0
0001-0002-0001-0001;0001-0002-0001;d;Dysponent;Kancelaria Sejmu;02;;0
0001-0002-0001-0002;0001-0002-0001;d;Dysponent;Kancelaria Senatu;03;;0
0001-0002-0002;0001-0002;c;Podzadanie 1.2.2;Zapewnianie warunków wykonywania mandatu posła i senatora;;;0
0001-0002-0002-0001;0001-0002-0002;d;Dysponent;Kancelaria Sejmu;02;;0
0001-0002-0002-0002;0001-0002-0002;d;Dysponent;Kancelaria Senatu;03;;0
0001-0003;0001;b;Zadanie 1.3;Obsługa merytoryczna i kancelaryjno-biurowa Prezesa Rady Ministrów i Rady Ministrów;;;9956
0001-0003-0001;0001-0003;c;Podzadanie 1.3.1;Obsługa i koordynacja prac rządu;;;0
0001-0003-0001-0001;0001-0003-0001;d;Dysponent;Kancelaria Prezesa Rady Ministrów;16;;0
0001-0003-0002;0001-0003;c;Podzadanie 1.3.2;Obsługa prawna Rady Ministrów;;;485
0001-0003-0002-0001;0001-0003-0002;d;Dysponent;Rządowe Centrum Legislacji;75;;485
0001-0003-0003;0001-0003;c;Podzadanie 1.3.3;Zarządzanie korpusem służby cywilnej oraz podnoszenie jakości pracy w urzędach administracji rządowej;;;9471
0001-0003-0003-0001;0001-0003-0003;d;Dysponent;Kancelaria Prezesa Rady Ministrów;16;;9471
