ID;Rodzic;Poziom;Typ;Nazwa;Środki europejskie
0006;;a;Dysponent;Główny Urząd Statystyczny;30906
0006-0001;0006;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;30906
0006-0001-0001;0006-0001;c;Zadanie 6.10;Statystyka publiczna;30906
0006-0001-0001-0001;0006-0001-0001;d;Podzadanie 6.10.1;Organizowanie i prowadzenie badań statystycznych;30580
0006-0001-0001-0001-0001;0006-0001-0001-0001;e;Część 58;GŁÓWNY URZĄD STATYSTYCZNY;30580
0006-0001-0001-0005;0006-0001-0001;d;Podzadanie 6.10.5;Prowadzenie krajowych rejestrów urzędowych;326
0006-0001-0001-0005-0001;0006-0001-0001-0005;e;Część 58;GŁÓWNY URZĄD STATYSTYCZNY;326
0008;;a;Dysponent;Kancelaria Prezesa Rady Ministrów;27062
0008-0001;0008;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;23832
0008-0001-0001;0008-0001;c;Zadanie 1.3;Obsługa merytoryczna i kancelaryjno-biurowa Prezesa Rady Ministrów i Rady Ministrów;23832
0008-0001-0001-0002;0008-0001-0001;d;Podzadanie 1.3.3;Zarządzanie korpusem służby cywilnej oraz podnoszenie jakości pracy w urzędach administracji rządowej;23832
0008-0001-0001-0002-0001;0008-0001-0001-0002;e;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;23832
0008-0002;0008;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;3230
0008-0002-0001;0008-0002;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;3230
0008-0002-0001-0001;0008-0002-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;3230
0008-0002-0001-0001-0001;0008-0002-0001-0001;e;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;3230
0017;;a;Dysponent;Ministerstwo Edukacji Narodowej;342590
0017-0001;0017;b;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;342590
0017-0001-0001;0017-0001;c;Zadanie 3.1;Edukacja i wychowanie;341205
0017-0001-0001-0001;0017-0001-0001;d;Podzadanie 3.1.1;Zarządzanie i nadzór nad systemem edukacji i wychowania;52454
0017-0001-0001-0001-0001;0017-0001-0001-0001;e;Część 30;OŚWIATA I WYCHOWANIE;52454
0017-0001-0001-0002;0017-0001-0001;d;Podzadanie 3.1.2;Kształcenie ogólne, zawodowe i ustawiczne;12877
0017-0001-0001-0002-0001;0017-0001-0001-0002;e;Część 30;OŚWIATA I WYCHOWANIE;12877
0017-0001-0001-0003;0017-0001-0001;d;Podzadanie 3.1.3;Kształcenie i doskonalenie nauczycieli oraz kształtowanie ich pragmatyki zawodowej;106433
0017-0001-0001-0003-0001;0017-0001-0001-0003;e;Część 30;OŚWIATA I WYCHOWANIE;106433
0017-0001-0001-0004;0017-0001-0001;d;Podzadanie 3.1.4;Egzaminy zewnętrzne;40135
0017-0001-0001-0004-0001;0017-0001-0001-0004;e;Część 30;OŚWIATA I WYCHOWANIE;40135
0017-0001-0001-0005;0017-0001-0001;d;Podzadanie 3.1.5;Wspieranie uczniów zdolnych oraz dzieci i młodzieży ze specjalnymi potrzebami edukacyjnymi;42100
0017-0001-0001-0005-0001;0017-0001-0001-0005;e;Część 30;OŚWIATA I WYCHOWANIE;42100
0017-0001-0001-0006;0017-0001-0001;d;Podzadanie 3.1.6;Edukacja pozalekcyjna i pozaszkolna;87206
0017-0001-0001-0006-0001;0017-0001-0001-0006;e;Część 30;OŚWIATA I WYCHOWANIE;87206
0017-0001-0002;0017-0001;c;Zadanie 3.3;Informatyzacja działalności i budowa społeczeństwa informacyjnego;1385
0017-0001-0002-0002;0017-0001-0002;d;Podzadanie 3.3.2;Budowa i wdrożenie rozwiązań informatycznych;1385
0017-0001-0002-0002-0001;0017-0001-0002-0002;e;Część 30;OŚWIATA I WYCHOWANIE;1385
0018;;a;Dysponent;Ministerstwo Finansów;36786371
0018-0003;0018;b;FUNKCJA 4;ZARZĄDZANIE FINANSAMI PAŃSTWA;36781689
0018-0003-0001;0018-0003;c;Zadanie 4.1;Opracowywanie i wykonywanie budżetu państwa;36720695
0018-0003-0001-0001;0018-0003-0001;d;Podzadanie 4.1.1;Opracowanie metodologii i planowanie budżetowe;16701
0018-0003-0001-0001-0001;0018-0003-0001-0001;e;Część 19;BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;16701
0018-0003-0001-0002;0018-0003-0001;d;Podzadanie 4.1.2;Realizacja budżetu państwa;36703994
0018-0003-0001-0002-0002;0018-0003-0001-0002;e;Część 83;REZERWY CELOWE (ogółem);36703994
0018-0003-0002;0018-0003;c;Zadanie 4.2;Opracowanie systemu finansowania jednostek samorządu terytorialnego (jst) i sfery budżetowej;2258
0018-0003-0002-0002;0018-0003-0002;d;Podzadanie 4.2.2;Analiza i ocena funkcjonowania systemu finansowania jst;2258
0018-0003-0002-0002-0001;0018-0003-0002-0002;e;Część 19;BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;2258
0018-0003-0003;0018-0003;c;Zadanie 4.3;Realizacja dochodów z podatków bezpośrednich, pośrednich oraz dochodów niepodatkowych;27555
0018-0003-0003-0002;0018-0003-0003;d;Podzadanie 4.3.2;Zapewnienie sprawnej obsługi podatników;13312
0018-0003-0003-0002-0001;0018-0003-0003-0002;e;Część 19;BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;13312
0018-0003-0003-0003;0018-0003-0003;d;Podzadanie 4.3.3;Pobór ceł i udogodnienia w handlu i podróżach przez granicę;14243
0018-0003-0003-0003-0001;0018-0003-0003-0003;e;Część 19;BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;14243
0018-0003-0005;0018-0003;c;Zadanie 4.5;Przeciwdziałanie zagrożeniom bezpieczeństwa finansowego państwa;1314
0018-0003-0005-0004;0018-0003-0005;d;Podzadanie 4.5.4;Ochrona rynku przed przemytem towarów;1314
0018-0003-0005-0004-0001;0018-0003-0005-0004;e;Część 19;BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;1314
0018-0003-0010;0018-0003;c;Zadanie 4.10;Informatyzacja działalności i budowa społeczeństwa informacyjnego;29867
