ID;Rodzic;Poziom;Numer;Treść;Paragrafy;Przewidywane wykonanie w 2010;Plan na 2011
001;;a;1;PLAN FINANSOWY FUNDUSZU UBEZPIECZEŃ SPOŁECZNYCH;;161691926;167833978
001-001;001;b;1.1;Fundusz  emerytalny;x;101636549;105501044
001-001-001;001-001;c;1.1.1;Emerytury;x;101633335;105498231
001-001-002;001-001;c;1.1.2;Pozostałe  świadczenia;x;3214;2813
001-002;001;b;1.2;Fundusz  rentowy;x;39743171;40418477
001-002-001;001-002;c;1.2.1;Renty;x;31740192;32798401
001-002-002;001-002;c;1.2.2;Emerytury  przyznane  z urzędu zamiast renty;x;1669733;1629855
001-002-003;001-002;c;1.2.3;Dodatki do emerytur  i rent: pielęgnacyjne, dla sierot zupełnych i za tajne nauczanie;x;4186895;4428993
001-002-004;001-002;c;1.2.4;Zasiłki pogrzebowe;x;1970895;1385284
001-002-005;001-002;c;1.2.5;Pozostałe  świadczenia;x;1456;1944
001-002-006;001-002;c;1.2.6;Prewencja  rentowa;x;174000;174000
001-003;001;b;1.3;Fundusz  chorobowy;x;10933513;11656053
001-003-001;001-003;c;1.3.1;Zasiłki chorobowe;x;6405582;6809149
001-003-002;001-003;c;1.3.2;Zasiłki macierzyńskie;x;3103157;3326754
001-003-003;001-003;c;1.3.3;Zasiłki opiekuńcze;x;551165;591904
001-003-004;001-003;c;1.3.4;Świadczenia rehabilitacyjne;x;869368;923924
001-003-005;001-003;c;1.3.5;Pozostałe świadczenia;x;1314;1218
001-003-006;001-003;c;1.3.6;Wynagrodzenia dla płatników  składek;x;2927;3104
001-004;001;b;1.4;Fundusz  wypadkowy;x;5190729;5426879
001-004-001;001-004;c;1.4.1;Renty;x;4108929;4264642
001-004-002;001-004;c;1.4.2;Dodatki do rent: pielęgnacyjne i dla sierot zupełnych;x;131245;140714
001-004-003;001-004;c;1.4.3;Zasiłki chorobowe;x;516525;555469
001-004-004;001-004;c;1.4.4;Jednorazowe odszkodowania;x;337296;363237
001-004-005;001-004;c;1.4.5;Świadczenia rehabilitacyjne ;x;92368;98104
001-004-006;001-004;c;1.4.6;Pozostałe  świadczenia;x;865;1211
001-004-007;001-004;c;1.4.7;Prewencja  wypadkowa;x;3500;3500
001-004-008;001-004;c;1.4.8;Pozostałe  wydatki;x;1;2
001-005;001;b;1.5;Wydatki FUS;x;4187964;4831525
001-005-001;001-005;c;1.5.1;Odpis na działalność Zakładu Ubezpieczeń Społecznych;2970;3773570;3773570
001-005-002;001-005;c;1.5.2;Koszt obsługi kredytów;8070;163514;57700
001-005-003;001-005;c;1.5.3;Pozostałe  zmniejszenia;4810, 4950;250880;1000255
002;;a;2;PLAN FINANSOWY FUNDUSZU EMERYTALNO-RENTOWEGO;;16667644;16625641
002-001;002;b;2.1;Transfery  na rzecz ludności;3110, 4580;14348187;14321635
002-001-001;002-001;c;2.1.1;emerytury  rolne;x;10827135;10888782
002-001-002;002-001;c;2.1.2;renty rolne;x;2513561;2527657
002-001-003;002-001;c;2.1.3;zasiłki pogrzebowe;x;397746;275922
002-001-004;002-001;c;2.1.4;pozostałe  świadczenia;x;609745;629274
002-002;002;b;2.2;Wydatki bieżące;x;442000;442000
002-002-001;002-002;c;2.2.1;odpis na fundusz administracyjny;2960;442000;442000
002-003;002;b;2.3;Składki na ubezpieczenia zdrowotne  finansowane z dotacji budżetu;4130;1877457;1862006
003;;a;3;PLAN FINANSOWY FUNDUSZU PREWENCJI I REHABILITACJI;;44887;33949
003-001;003;b;3.1;Wydatki bieżące (własne);x;34464;30949
003-002;003;b;3.2;Wydatki inwestycyjne;6110, 6120, 6260, 6270;10423;3000
004;;a;4;PLAN FINANSOWY FUNDUSZU ADMINISTRACYJNEGO;;597084;584248
004-001;004;b;4.1;Wydatki bieżące (własne);x;564787;559884
004-001-001;004-001;c;4.1.1;wynagrodzenia pracowników Kasy;4010-4100, 4170;287882;287882
004-001-002;004-001;c;4.1.2;pochodne  od tych wynagrodzeń;4110-4120;46211;46211
004-001-003;004-001;c;4.1.3;- pozostałe  wydatki bieżące, w tym:;x;230694;225791
004-002;004;b;4.2;Wydatki inwestycyjne:;x;32297;24364
004-002-001;004-002;c;4.2.1; wydatki inwestycyjne  i wydatki na zakupy inwestycyjne;6110, 6120;28600;17400
004-002-002;004-002;c;4.2.2;Program PPWOW  - 10% wkład własny;6124;3697;6964
005;;a;5;PLAN FINANSOWY FUNDUSZU EMERYTUR POMOSTOWYCH;;85268;177383
005-001;005;b;5.1;Transfery  na rzecz ludności;3110, 4580;82613;166149
005-001-001;005-001;c;5.1.1;emerytury  pomostowe;x;82601;166126
005-001-002;005-001;c;5.1.2;pozostałe  odsetki;x;12;23
005-002;005;b;5.2;Wydatki bieżące;x;460;1573
005-002-001;005-002;c;5.2.1;odpis na działalność Zakładu ubezpieczeń Społecznych;2970;460;1573
005-003;005;b;5.3;Rezerwy;4810;2195;9661
006;;a;6;PLAN FINANSOWY FUNDUSZU GWARANTOWANYCH ŚWIADCZEŃ PRACOWNICZYCH;;219083;1201722
006-001;006;b;6.1;Transfery  na rzecz ludności;x;25000;945000
006-002;006;b;6.2;Wydatki bieżące (własne);x;193083;256372
006-002-001;006-002;c;6.2.1;wynagrodzenia;4010, 4040, 4170;16126;16126
006-002-002;006-002;c;6.2.2;składki na ubezpieczenie społeczne;4110;2435;2435
006-002-003;006-002;c;6.2.3;składki na fundusz  Pracy;4120;395;395
006-002-004;006-002;c;6.2.4;pozostałe,  w tym:;x;174127;237416
006-003;006;b;6.3;Wydatki inwestycyjne;x;1000;350
006-003-001;006-003;c;6.3.1;wydatki inwestycyjne (własne)  i wydatki na zakupy inwestycyjne (własne);6110.612;1000;350
007;;a;7;PLAN FINANSOWY FUNDUSZU PRACY;;13138744;8720617
007-001;007;b;7.1;Środki stanowiące dochód powiatu,  przeznaczone na wynagrodzenia oraz składki na ubezpieczenia społeczne  pracowników powiatowych urzędów  pracy;2690;286212;311600
007-002;007;b;7.2;Transfery  na rzecz ludności;x;5893178;4763634
007-002-001;007-002;c;7.2.1;zadania realizowane bez prefinansowania i współfinansowania programów i projektów;3110;5819943;4743347
007-002-002;007-002;c;7.2.2;współfinansowanie programów i projektów  realizowanych ze środków  Unii Europejskiej;3119;73235;20287
007-003;007;b;7.3;Środki z Unii Europejskiej;x;1040167;330000
007-004;007;b;7.4;Wydatki bieżące:;x;5579187;3225383
007-004-001;007-004;c;7.4.1;refundacja  wynagrodzeń oraz dodatków  do wynagrodzeń;x;959032;408035
007-004-001-001;007-004-001;d;7.4.1.1;zadania realizowane bez prefinansowania i współfinansowania programów i projektów;4010;950208;400976
007-004-001-002;007-004-001;d;7.4.1.2;współfinansowanie programów i projektów  realizowanych ze środków  Unii Europejskiej;4019;8824;7059
007-004-002;007-004;c;7.4.2;pochodne   od refundowanych wynagrodzeń;x;157415;74381
007-004-002-001;007-004-002;d;7.4.2.1;zadania realizowane bez prefinansowania i współfinansowania programów i projektów;4110, 4120;156003;73146
007-004-002-002;007-004-002;d;7.4.2.2;współfinansowanie programów i projektów  realizowanych ze środków  Unii Europejskiej;4119, 4129;1412;1235
007-004-003;007-004;c;7.4.3;składki na ubezpieczenia społeczne  od zasiłków  dla bezrobotnych;4110;753635;638028
007-004-004;007-004;c;7.4.4;składki na ubezpieczenia społeczne  od stypendiów;x;185675;89158
007-004-004-001;007-004-004;d;7.4.4.1;zadania realizowane bez prefinansowania i współfinansowania programów i projektów;4110;160969;79897
007-004-004-002;007-004-004;d;7.4.4.2; współfinansowanie programów i projektów  realizowanych ze środków  Unii Europejskiej;4119;24706;9261
007-004-005;007-004;c;7.4.5;składki na ubezpieczenia społeczne  rolników;4110;1000;1000
