ID;Rodzic;Poziom;Typ;Nazwa;Wydatki (w tys. zł) 2011 r.;Wydatki (w tys. zł) 2012 r.;Wydatki (w tys. zł) 2013 r.
0001;;a;AGENCJA 1;Wojskowa Agencja Mieszkaniowa;886610;882162;871355
0001-0001;0001;b;Zadanie 1.1;Gospodarowanie mieniem Skarbu Państwa;477543;478311;472809
0001-0001-0001;0001-0001;c;Podzadanie 1.1.1;Przekształcenia własnościowe (prywatyzacja);23878;23916;18912
0001-0001-0002;0001-0001;c;Podzadanie 1.1.2;Zarządzanie mieniem Skarbu Państwa;453665;454395;453897
0001-0002;0001;b;Zadanie 1.2;Wspieranie budownictwa;42020;36807;32416
0001-0002-0001;0001-0002;c;Podzadanie 1.2.1;Termomodernizacja i remonty zasobów mieszkaniowych;42020;36807;32416
0001-0003;0001;b;Zadanie 1.3;Utrzymanie zdolności obronnych;367047;367044;366130
0001-0003-0001;0001-0003;c;Podzadanie 1.3.1;Zakwaterowanie Sił Zbrojnych;367047;367044;366130
0002;;a;AGENCJA 2;Agencja Mienia Wojskowego;143937;162217;162217
0002-0001;0002;b;Zadanie 2.1;Gospodarowanie mieniem Skarbu Państwa;142446;162217;162217
0002-0001-0001;0002-0001;c;Podzadanie 2.1.1;Przekształcenia własnościowe (prywatyzacja);136340;155242;155242
0002-0001-0002;0002-0001;c;Podzadanie 2.1.2;Zarządzanie mieniem Skarbu Państwa;6106;6975;6975
0002-0002;0002;b;Zadanie 2.2;Utrzymanie zdolności obronnych;1491;0;0
0002-0002-0001;0002-0002;c;Podzadanie 2.2.1;Wsparcie utrzymania zdolności operacyjnych;1491;0;0
0003;;a;AGENCJA 3;Agencja Restrukturyzacji i Modernizacji Rolnictwa;2297202;2392127;2420205
0003-0001;0003;b;Zadanie 3.1;Wspieranie rybactwa śródlądowego i rybołówstwa morskiego*;0;0;0
0003-0001-0001;0003-0001;c;Podzadanie 3.1.1;PO Zrównoważony rozwój sektora rybołówstwa i nadbrzeżnych obszarów rybackich 2007-2013*;0;0;0
0003-0002;0003;b;Zadanie 3.2;Realizacja Wspólnej Polityki Rolnej oraz pomocy krajowej;915680;997021;1010737
0003-0002-0001;0003-0002;c;Podzadanie 3.2.1;Pomoc krajowa;915680;997021;1010737
0003-0002-0002;0003-0002;c;Podzadanie 3.2.2;WPR finansowane z EFRG*;0;0;0
0003-0002-0003;0003-0002;c;Podzadanie 3.2.3;Program Rozwoju Obszarów Wiejskich 2007-2013*;0;0;0
0003-0002-0004;0003-0002;c;Podzadanie 3.2.4;Realizacja płatności bezpośrednich*;0;0;0
0003-0003;0003;b;Zadanie 3.3;Obsługa administracyjna;1381522;1395106;1409468
0004;;a;AGENCJA 4;Agencja Rynku Rolnego;359312;374274;411815
0004-0001;0004;b;Zadanie 4.1;Realizacja Wspólnej Polityki Rolnej oraz pomocy krajowej;359312;374274;411815
0004-0001-0001;0004-0001;c;Podzadanie 4.1.1;Pomoc krajowa;234124;246301;284085
0004-0001-0002;0004-0001;c;Podzadanie 4.1.2;Wspieranie realizacji WPR Unii Europejskiej;125188;127973;127730
0005;;a;AGENCJA 5;Agencja Nieruchomości Rolnych;160300;167270;174540
0005-0001;0005;b;Zadanie 5.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;160300;167270;174540
0006;;a;AGENCJA 6;Zasób Własności Rolnej Skarbu Państwa;838780;864970;876640
0006-0001;0006;b;Zadanie 6.1;Gospodarowanie mieniem Skarbu Państwa²’;693480;712700;717100
0006-0001-0001;0006-0001;c;Podzadanie 6.1.1;Przekształcenia własnościowe (prywatyzacja);693480;712700;717100
0006-0002;0006;b;Zadanie 6.2;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;145300;152270;159540
0007;;a;AGENCJA 7;Narodowy Fundusz Ochorny Środowiska i Gospodarki Wodnej;1982545;2288515;2342765
0007-0001;0007;b;Zadanie 7.1;Bezpieczeństwo gospodarcze państwa;33086;30082;28096
0007-0001-0001;0007-0001;c;Podzadanie 7.1.1;Wspieranie wykorzystania odnawialnych źródeł energii i biopaliw ciekłych w transporcie;33086;30082;28096
0007-0002;0007;b;Zadanie 7.2;Nadzór i kontrola nad zakładami górniczymi oraz zakładami wykonującymi roboty geologiczne;24639;28137;28192
0007-0002-0001;0007-0002;c;Podzadanie 7.2.1;Nadzór i kontrola nad projektowaniem, budową, utrzymaniem, remontem i rozbiórką obiektów budowlanych zakładów górniczych;24639;28137;28192
0007-0003;0007;b;Zadanie 7.3;Kształtowanie bioróżnorodności;229225;185553;197092
0007-0003-0001;0007-0003;c;Podzadanie 7.3.1;Realizacja sieci Natura 2000;3615;3061;3072
0007-0003-0002;0007-0003;c;Podzadanie 7.3.2;Ochrona przyrody i krajobrazu, w tym parki narodowe;103790;101446;97820
0007-0003-0003;0007-0003;c;Podzadanie 7.3.3;Ochrona i zrównoważony rozwój lasów oraz powiększanie zasobów leśnych;40656;40612;40720
0007-0003-0004;0007-0003;c;Podzadanie 7.3.4;Ochrona funkcji gleb i przywrócenie gleb do stanu właściwego;81164;40434;55480
0007-0004;0007;b;Zadanie 7.4;Kształtowanie jakości powietrza atmosferycznego i przeciwdziałanie zmianom klimatu;211542;965799;1128291
0007-0004-0001;0007-0004;c;Podzadanie 7.4.1;Ograniczenie emisji gazów cieplarnianych oraz działania z zakresu handlu emisjami CO2 i pakietu energetyczno-klimatycznego;209327;962595;1125941
0007-0004-0002;0007-0004;c;Podzadanie 7.4.2;Opracowanie programów ochrony powietrza;2215;3204;2350
0007-0005;0007;b;Zadanie 7.5;Racjonalne gospodarowanie zasobami i strukturami geologicznymi;168091;106038;81204
0007-0005-0001;0007-0005;c;Podzadanie 7.5.1;Badania geologiczne, gospodarowanie zasobami złóż kopalin oraz ustalanie dyspozycyjnych zasobów wód podziemnych;167991;105938;81104
0007-0005-0002;0007-0005;c;Podzadanie 7.5.2;Promocja i upowszechnianie osiągnięć w dziedzinie geologii i górnictwie;100;100;100
0007-0006;0007;b;Zadanie 7.6;Gospodarka odpadami;194699;189626;193660
0007-0006-0001;0007-0006;c;Podzadanie 7.6.1;Ograniczanie wpływu odpadów na środowisko;193291;188224;192440
0007-0006-0002;0007-0006;c;Podzadanie 7.6.2;Nadzorowanie i koordynacja gospodarowania odpadami;1408;1402;1220
0007-0007;0007;b;Zadanie 7.7;Gospodarowanie zasobami wodnymi;491720;206018;159058
0007-0007-0001;0007-0007;c;Podzadanie 7.7.1;Kształtowanie, ochrona i wykorzystanie zasobów wodnych;491720;206018;159058
0007-0008;0007;b;Zadanie 7.8;Rozbudowa infrastruktury ochrony środowiska;95670;143822;147840
0007-0008-0001;0007-0008;c;Podzadanie 7.8.1;Gospodarka wodno-ściekowa;54468;119240;124736
