ID;Rodzic;Poziom;Numer;Treść;Przewidywane wykonanie w 2010;Plan na 2011
001;;a;1;AGENCJA MIENIA WOJSKOWEGO;162217;143937
001-001;001;b;1.1;Koszty według rodzaju;153301;133852
001-001-001;001-001;c;1.1.1;Amortyzacja;11938;10758
001-001-002;001-001;c;1.1.2;Materiały i energia;2065;2037
001-001-003;001-001;c;1.1.3;Usługi obce;5543;5032
001-001-003-001;001-001-003;d;1.1.3.1;remonty;479;484
001-001-003-002;001-001-003;d;1.1.3.2;pozostałe;5064;4548
001-001-004;001-001;c;1.1.4;Podatki i opłaty, w tym:;37109;33892
001-001-004-001;001-001-004;d;1.1.4.1;podatek akcyzowy i VAT;6636;6393
001-001-004-002;001-001-004;d;1.1.4.2;Podatki stanowiące źródło dochodów własnych jednostek samorządu terytorialnego;22989;20470
001-001-004-003;001-001-004;d;1.1.4.3;opłaty urzędowe;7123;6672
001-001-004-004;001-001-004;d;1.1.4.4;wpłaty na PFRON;361;357
001-001-005;001-001;c;1.1.5;Wynagrodzenia;28322;28026
001-001-005-001;001-001-005;d;1.1.5.1;osobowe;26644;26644
001-001-005-002;001-001-005;d;1.1.5.2;pozostałe;1678;1382
001-001-006;001-001;c;1.1.6;Ubezpieczenia społeczne i inne świadczenia;5418;5363
001-001-006-001;001-001-006;d;1.1.6.1;składki na ubezpieczenie społeczne;4242;4189
001-001-006-002;001-001-006;d;1.1.6.2;składki na Fundusz Pracy;683;674
001-001-006-003;001-001-006;d;1.1.6.3;składka na Fundusz Gwarantowanych Świadczeń Pracowniczych;28;28
001-001-006-004;001-001-006;d;1.1.6.4;świadczenia socjalne;465;472
001-001-007;001-001;c;1.1.7;pozostałe;62906;48744
001-002;001;b;1.2;Koszty finansowe;80;55
001-002-001;001-002;c;1.2.1;inne;80;55
001-003;001;b;1.3;Pozostałe koszty;8836;10030
002;;a;2;WOJSKOWA AGENCJA MIESZKANIOWA;901702;1248563
002-001;002;b;2.1;Koszty według rodzaju;830761;1192874
002-001-001;002-001;c;2.1.1;Materiały i energia;113623;193368
002-001-002;002-001;c;2.1.2;Usługi obce;142806;232995
002-001-002-001;002-001-002;d;2.1.2.1;remonty;14881;55648
002-001-002-002;002-001-002;d;2.1.2.2;pozostałe;127925;177347
002-001-003;002-001;c;2.1.3;Podatki i opłaty, w tym:;15873;21715
002-001-004;002-001;c;2.1.4;Wynagrodzenia;62993;134993
002-001-004-001;002-001-004;d;2.1.4.1;osobowe;61661;128338
002-001-004-002;002-001-004;d;2.1.4.2;pozostałe;1332;6655
002-001-005;002-001;c;2.1.5;Ubezpieczenia społeczne i inne świadczenia;15220;31240
002-001-005-001;002-001-005;d;2.1.5.1;składki na ubezpieczenie społeczne;9278;20290
002-001-005-002;002-001-005;d;2.1.5.2;składki na Fundusz Pracy;1488;3254
002-001-005-003;002-001-005;d;2.1.5.3;świadczenia socjalne;1358;3553
002-001-005-004;002-001-005;d;2.1.5.4;inne;3096;4143
002-001-006;002-001;c;2.1.6;pozostałe;480246;578563
002-002;002;b;2.2;Koszty finansowe;15293;17070
002-002-001;002-002;c;2.2.1;obsługa długu;597;489
002-002-002;002-002;c;2.2.2;nne;14696;16581
002-003;002;b;2.3;Pozostałe koszty;55648;38619
003;;a;3;AGENCJA REZERW MATERIAŁOWYCH;576311;479570
003-001;003;b;3.1;Koszty według rodzaju;370499;359225
003-001-001;003-001;c;3.1.1;Amortyzacja;6160;6329
003-001-002;003-001;c;3.1.2;Materiały i energia;5991;6679
003-001-003;003-001;c;3.1.3;Usługi obce;232505;207962
003-001-003-001;003-001-003;d;3.1.3.1;remonty;2231;2200
003-001-003-002;003-001-003;d;3.1.3.2;pozostałe;230274;205762
003-001-004;003-001;c;3.1.4;Podatki i opłaty, w tym:;79343;92111
003-001-004-001;003-001-004;d;3.1.4.1;podatek akcyzowy i VAT;75604;88092
003-001-004-002;003-001-004;d;3.1.4.2;Podatki stanowiące źródło dochodów własnych jednostek samorządu terytorialnego;3029;3314
003-001-004-003;003-001-004;d;3.1.4.3;opłaty za wieczyste użytkowanie gruntów;129;133
003-001-004-004;003-001-004;d;3.1.4.4;opłaty urzędowe;97;88
003-001-004-005;003-001-004;d;3.1.4.5;wpłaty na PFRON;484;484
003-001-005;003-001;c;3.1.5;Wynagrodzenia;35663;35663
003-001-005-001;003-001-005;d;3.1.5.1;osobowe;35506;35506
003-001-005-002;003-001-005;d;3.1.5.2;pozostałe;157;157
003-001-006;003-001;c;3.1.6;Ubezpieczenia społeczne i inne świadczenia;7538;7617
003-001-006-001;003-001-006;d;3.1.6.1;składki na ubezpieczenie społeczne;5202;5202
003-001-006-002;003-001-006;d;3.1.6.2;składki na Fundusz Pracy;835;835
003-001-006-003;003-001-006;d;3.1.6.3;składka na Fundusz Gwarantowanych Świadczeń Pracowniczych;34;0
003-001-006-004;003-001-006;d;3.1.6.4;świadczenia socjalne;715;715
003-001-006-005;003-001-006;d;3.1.6.5;inne;752;865
003-001-007;003-001;c;3.1.7;pozostałe;3299;2864
003-002;003;b;3.2;Koszty finansowe;1500;750
003-002-001;003-002;c;3.2.1;inne;1500;750
003-003;003;b;3.3;Pozostałe koszty;204312;119595
004;;a;4;AGENCJA RYNKU ROLNEGO;364661;359312
004-001;004;b;4.1;Koszty według rodzaju;139284;140584
004-001-001;004-001;c;4.1.1;Materiały i energia;4100;4228
004-001-002;004-001;c;4.1.2;remonty;800;825
004-001-003;004-001;c;4.1.3;pozostałe Usługi obce;48389;49304
004-001-004;004-001;c;4.1.4;Podatki i opłaty;1400;1443
004-001-005;004-001;c;4.1.5;Wynagrodzenia;66898;66898
004-001-006;004-001;c;4.1.6;składki od wynagrodzeń;11627;11627
004-001-007;004-001;c;4.1.7;pozostałe;6070;6259
004-002;004;b;4.2;Środki przekazane na finansowanie lub dofinansowanie kosztów realizacji inwestycji i zakupów inwestycyjnych jednostek zaliczanych do sektora finansów publicznych;12400;10100
004-003;004;b;4.3;Pozostałe koszty;212977;208628
005;;a;5;AGENCJA RESTRUKTURYZACJI I MODERNIZACJI ROLNICTWA;2293369;2296202
005-001;005;b;5.1;Koszty według rodzaju;1103615;1088774
005-001-001;005-001;c;5.1.1;Materiały i energia;44500;47137
005-001-002;005-001;c;5.1.2;remonty;4175;3580
005-001-003;005-001;c;5.1.3;pozostałe Usługi obce;379714;360082
005-001-004;005-001;c;5.1.4;Podatki i opłaty;8755;9350
005-001-005;005-001;c;5.1.5;Wynagrodzenia;539752;539752
005-001-006;005-001;c;5.1.6;składki od wynagrodzeń;94349;94349
005-001-007;005-001;c;5.1.7;pozostałe;32370;34524
005-002;005;b;5.2;Środki przekazane na realizację zadań bieżących dla jednostek niezaliczanych do sektora finansów publicznych;938305;922463
005-002-001;005-002;c;5.2.1;dopłaty do oprocentowania kredytów bankowych udzielanych na sfinansowanie części kosztów inwestycji;586325;594673
005-002-002;005-002;c;5.2.2;częściowa spłata kapitału kredytów na realizację inwestycji w gospodarstwach rolnych;40000;50000
005-002-003;005-002;c;5.2.3;dopłaty do oprocentowania kredytów bankowych udzielanych na sfinansowanie kosztów wznowienia produkcji oraz odtworzenia środków trwałych w przypadku wystąpienia szkód;176514;154669
005-002-004;005-002;c;5.2.4;- finansowanie lub dofinansowanie ponoszonych przez producentów rolnych kosztów zbioru, transportu lub unieszkodliwiania padłych zwierząt gospodarskich z gatunku bydło, owce, kozy, świnie lub konie;59300;68491
005-002-005;005-002;c;5.2.5;finansowanie zalesiania gruntów rolnych;43575;45754
005-002-006;005-002;c;5.2.6;działalność informacyjno-promocyjna;6100;6153
005-002-007;005-002;c;5.2.7;finansowanie zadań w zakresie identyfikacji i rejestracji zwierząt;576;630
005-002-008;005-002;c;5.2.8;realizacja udzielonych poręczeń i gwarancji;1675;1973
005-002-009;005-002;c;5.2.9;pomoc finansowa na przygotowanie wniosku o rejestrację nazw i oznaczeń;240;120
005-002-010;005-002;c;5.2.10;geograficznych pierwotnych produktów rolnych;24000;0
005-003;005;b;5.3;- realizacja pomocy dla rolników, którzy w 2008 r. lub 2009 r. otrzymali płatność;251449;284965
