ID;Rodzic;Poziom;Numer;Koszty;Centrala;Dolnośląskie;Kujawsko-Pomorskie;Lubelski;Lubuski;Łódzki;Małopolski;Mazowiecki;Opolski;Podkarpacki;Podlaski;Pomorski;Śląski;Świętokrzyski;Warmińsko-Mazurski;Wielkopolski;Zachodniopomorski;Ośrodki Wojewódzkie;Ogółem
A;;a;A;Koszty świadczeń zdrowotnych,  w tym:;422455;4334119;3020732;3178445;1453337;3898070;4685941;8762582;1427958;2937791;1722945;3332683;7019467;1915153;1993695;4907055;2508464;57098437;57520892
A-001;A;b;A.1;podstawowa opieka zdrowotna;0;545550;410258;431400;194880;500399;620007;1011000;180827;399500;230000;423954;893414;248680;274000;672000;335892;7371761;7371761
A-002;A;b;A.2;ambulatoryjna opieka specjalistyczna;0;345188;227342;215000;98380;242265;337858;662374;101000;200500;137221;271000;586718;106736;145338;376489;183561;4236970;4236970
A-003;A;b;A.3;leczenie szpitalne, w tym:;0;1924570;1281807;1367962;546453;1683637;1983210;4135340;570095;1203070;746063;1423373;3017994;750000;774616;2138350;1082948;24629488;24629488
A-004;A;b;A.4;opieka psychiatryczna i leczenie uzależnień;0;139008;92884;101500;77918;117699;125319;304442;43700;85066;62409;114000;230735;53620;61762;146947;67798;1824807;1824807
A-005;A;b;A.5;rehabilitacja lecznicza;0;127676;73863;84150;39452;95963;137053;363759;43000;108000;37643;83800;199786;52710;53573;130177;64652;1695257;1695257
A-006;A;b;A.6;świadczenia pielęgnacyjne i opiekuńcze w ramach opieki długoterminowej;0;81008;35238;39400;18346;43799;98409;129345;42200;71453;21413;32000;171488;25000;25319;57919;33707;926044;926044
A-007;A;b;A.7;opieka paliatywna i hospicyjna;0;18640;22632;12700;8020;16576;22403;37242;8000;14324;7474;18000;30982;9000;12970;37002;6817;282782;282782
A-008;A;b;A.8;leczenie stomatologiczne;0;118746;94822;112000;52500;117895;165895;210173;47000;97500;61525;101000;209310;54000;75185;148307;87765;1753623;1753623
A-009;A;b;A.9;lecznictwo uzdrowiskowe;0;52000;28698;38100;11000;46304;43334;95731;13500;28355;16200;27000;70000;23000;14000;49000;18123;574345;574345
A-010;A;b;A.10;pomoc doraźna i transport sanitarny;0;3700;2270;2500;2200;2025;1701;5439;1400;2483;1220;1197;4061;1300;2300;2500;1748;38044;38044
A-011;A;b;A.11;koszty profilaktycznych programów zdrowotnych finansowanych ze środków własnych Funduszu;0;11292;7896;7900;4010;9068;7987;15463;4300;5696;4474;9200;20037;4700;6963;9853;6625;135464;135464
A-012;A;b;A.12;świadczenia zdrowotne kontraktowane odrębnie;0;102531;93203;71000;33020;107367;115733;206002;31000;68510;30177;80800;163700;40000;42021;125532;64517;1375113;1375113
A-013;A;b;A.13;zaopatrzenie w sprzęt ortopedyczny, środki pomocnicze i lecznicze środki techniczne;0;46250;32120;33000;16000;37438;54200;80000;18500;32000;19000;32000;79110;21000;22500;51000;26873;600991;600991
A-014;A;b;A.14;refundacja cen leków, w tym:;0;623936;494467;483800;208621;639298;734000;1283382;203300;409585;252000;550729;1086637;284526;297379;762761;389676;8704097;8704097
A-015;A;b;A.15;rezerwa na koszty realizacji zadań wynikajacych z przepisów o koordynacji;416000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;416000
A-016;A;b;A.16;rezerwa na pokrycie kosztów świadczeń zdrowotnych oraz refundacji cen leków;6455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6455
