ID;Rodzic;Poziom;Numer;Koszty;Ogółem
000000;;a;000000;CENTRALA;654228
000000-A;000000;b;A;Koszty świadczeń zdrowotnych,  w tym:;422455
000000-A-001;000000-A;c;A.1;podstawowa opieka zdrowotna;0
000000-A-002;000000-A;c;A.2;ambulatoryjna opieka specjalistyczna;0
000000-A-003;000000-A;c;A.3;leczenie szpitalne, w tym:;0
000000-A-004;000000-A;c;A.4;opieka psychiatryczna i leczenie uzależnień;0
000000-A-005;000000-A;c;A.5;rehabilitacja lecznicza;0
000000-A-006;000000-A;c;A.6;świadczenia pielęgnacyjne i opiekuńcze w ramach opieki długoterminowej;0
000000-A-007;000000-A;c;A.7;opieka paliatywna i hospicyjna;0
000000-A-008;000000-A;c;A.8;leczenie stomatologiczne;0
000000-A-009;000000-A;c;A.9;lecznictwo uzdrowiskowe;0
000000-A-010;000000-A;c;A.10;pomoc doraźna i transport sanitarny;0
000000-A-011;000000-A;c;A.11;koszty profilaktycznych programów zdrowotnych finansowanych ze środków własnych Funduszu;0
000000-A-012;000000-A;c;A.12;świadczenia zdrowotne kontraktowane odrębnie;0
000000-A-013;000000-A;c;A.13;zaopatrzenie w sprzęt ortopedyczny, środki pomocnicze i lecznicze środki techniczne;0
000000-A-014;000000-A;c;A.14;refundacja cen leków, w tym:;0
000000-A-015;000000-A;c;A.15;rezerwa na koszty realizacji zadań wynikajacych z przepisów o koordynacji;416000
000000-A-016;000000-A;c;A.16;rezerwa na pokrycie kosztów świadczeń zdrowotnych oraz refundacji cen leków;6455
000000-A-017;000000-A;c;A.17;rezerwa na koszty świadczeń opieki zdrowotnej w ramach migracji ubezpieczonych;0
000000-A-018;000000-A;c;A.18;koszty świadczeń zdrowotnych z lat ubiegłych;0
000000-B;000000;b;B;Koszty programów polityki zdrowotnej realizowanych na zlecenie ;0
000000-C;000000;b;C;Koszty realizacji zadań zespołów ratownictwa medycznego;0
000000-D;000000;b;D;Koszty administracyjne, w tym;180514
000000-D-001;000000-D;c;D.1;zużycie materiałów i energii;4146
000000-D-002;000000-D;c;D.2;usługi obce;78361
000000-D-003;000000-D;c;D.3;podatki i opłaty, w tym:;382
000000-D-003-001;000000-D-003;d;D.3.1;podatki stanowiące dochody własne jednostek samorządu terytorialnego, w tym:;36
000000-D-003-002;000000-D-003;d;D.3.2;opłaty stanowiące dochody własne jednostek samorządu terytorialnego;27
000000-D-003-003;000000-D-003;d;D.3.3;VAT;0
000000-D-003-004;000000-D-003;d;D.3.4;podatek akcyzowy;0
000000-D-003-005;000000-D-003;d;D.3.5;wpłaty na PFRON;316
000000-D-003-006;000000-D-003;d;D.3.6;inne;3
000000-D-004;000000-D;c;D.4;wynagrodzenia;30855
000000-D-005;000000-D;c;D.5;ubezpieczenie społeczne i inne świadczenia, w tym:;7215
000000-D-005-001;000000-D-005;d;D.5.1;składki na Fundusz Ubezpieczeń Społecznych;4688
000000-D-005-002;000000-D-005;d;D.5.2;składki na Fundusz Pracy;757
