ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oœ priorytetowa <Kod>;Dzia³anie <Kod>;Poddzia³anie <Kod>;Wartoœæ ogó³em;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowoœæ;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o p³atnoœæ dla najbardziej aktualnej Umowy/Aneksu;Projekt zakoñczony (Wniosek o p³atnoœæ koñcow¹);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
04;;Województwo;Kujawsko-pomorskie;;;;;;1992290446.91;1327014747.29;1320694162.4;1124680828.56;;;;;;;;;;;;;
04-1;04;Projekt;"""Przeciwdzia³anie wykluczeniu cyfrowemu na terenie województwa kujawsko-pomorskiego""";POIG.08.03.00-04-151/09-00;Program Operacyjny Innowacyjna Gospodarka;POIG.08.00.00;POIG.08.03.00;;25,738,875.00;25,738,875.00;21,878,043.75;18,596,337.18;Województwo Kujawsko-Pomorskie;9561969536;87-100;Toruñ;Kujawsko-pomorskie;Powiat m. Toruñ / Powiat toruñski;15 Inne dzia³ania maj¹ce na celu poprawê dostêpu MŒP do TIK i ich wydajne u¿ytkowanie;wspólnota samorz¹dowa - województwo;00 Nie dotyczy;;;2010/09/02;2010/09/08
04-2;04;Projekt;Ochrona zimowisk i kolonii letnich nietoperzy w granicach wybranych województw. ;POIS.05.01.00-00-019/08-01;Program Operacyjny Infrastruktura i Œrodowisko;POIS.05.00.00;POIS.05.01.00;;407,640.80;407,640.80;407,640.80;346,494.68;Regionalna Dyrekcja Ochrony Œrodowiska w Szczecinie;8513073563;70-382;Szczecin;Zachodniopomorskie;Powiat m. Szczecin;51 Promowanie bioró¿norodnoœci i ochrony przyrody (w tym NATURA 2000);wojewódzka samorz¹dowa jednostka organizacyjna;00 Nie dotyczy;;;2010/12/09;2011/03/31
08;;Województwo;Lubuskie;;;;;;39946327.86;39920449.23;35493850.65;34981881.78;;;;;;;;;;;;;
08-1;08;Projekt;Ochrona zimowisk i kolonii letnich nietoperzy w granicach wybranych województw. ;POIS.05.01.00-00-019/08-01;Program Operacyjny Infrastruktura i Œrodowisko;POIS.05.00.00;POIS.05.01.00;;407,640.80;407,640.80;407,640.80;346,494.68;Regionalna Dyrekcja Ochrony Œrodowiska w Szczecinie;8513073563;70-382;Szczecin;Zachodniopomorskie;Powiat m. Szczecin;51 Promowanie bioró¿norodnoœci i ochrony przyrody (w tym NATURA 2000);wojewódzka samorz¹dowa jednostka organizacyjna;00 Nie dotyczy;;;2010/12/09;2011/03/31
22;;Województwo;Pomorskie;;;;;;361802312.77;361660599.77;336544603.62;301249020.27;;;;;;;;;;;;;
22-1;22;Projekt;Ochrona zimowisk i kolonii letnich nietoperzy w granicach wybranych województw. ;POIS.05.01.00-00-019/08-01;Program Operacyjny Infrastruktura i Œrodowisko;POIS.05.00.00;POIS.05.01.00;;407,640.80;407,640.80;407,640.80;346,494.68;Regionalna Dyrekcja Ochrony Œrodowiska w Szczecinie;8513073563;70-382;Szczecin;Zachodniopomorskie;Powiat m. Szczecin;51 Promowanie bioró¿norodnoœci i ochrony przyrody (w tym NATURA 2000);wojewódzka samorz¹dowa jednostka organizacyjna;00 Nie dotyczy;;;2010/12/09;2011/03/31
30;;Województwo;Wielkopolskie;;;;;;1004717117.26;931158126.52;880956995.59;741739689.67;;;;;;;;;;;;;
30-1;30;Projekt;Ochrona zimowisk i kolonii letnich nietoperzy w granicach wybranych województw. ;POIS.05.01.00-00-019/08-01;Program Operacyjny Infrastruktura i Œrodowisko;POIS.05.00.00;POIS.05.01.00;;407,640.80;407,640.80;407,640.80;346,494.68;Regionalna Dyrekcja Ochrony Œrodowiska w Szczecinie;8513073563;70-382;Szczecin;Zachodniopomorskie;Powiat m. Szczecin;51 Promowanie bioró¿norodnoœci i ochrony przyrody (w tym NATURA 2000);wojewódzka samorz¹dowa jednostka organizacyjna;00 Nie dotyczy;;;2010/12/09;2011/03/31
32;;Województwo;Zachodniopomorskie;;;;;;201428202.6;188026053.32;169008668.79;151312392.34;;;;;;;;;;;;;
32-1;32;Projekt;Ochrona zimowisk i kolonii letnich nietoperzy w granicach wybranych województw. ;POIS.05.01.00-00-019/08-01;Program Operacyjny Infrastruktura i Œrodowisko;POIS.05.00.00;POIS.05.01.00;;407,640.80;407,640.80;407,640.80;346,494.68;Regionalna Dyrekcja Ochrony Œrodowiska w Szczecinie;8513073563;70-382;Szczecin;Zachodniopomorskie;Powiat m. Szczecin;51 Promowanie bioró¿norodnoœci i ochrony przyrody (w tym NATURA 2000);wojewódzka samorz¹dowa jednostka organizacyjna;00 Nie dotyczy;;;2010/12/09;2011/03/31
02;;Województwo;Dolnoœl¹skie;;;;;;14847365.77;14821487.14;12298581.89;12298581.89;;;;;;;;;;;;;
02-1;02;Projekt;Ochrona ex situ zagro¿onych i chronionych roœlin, dziko rosn¹cych w zachodniej czêœci Polski ;POIS.05.01.00-00-148/09-00;Program Operacyjny Infrastruktura i Œrodowisko;POIS.05.00.00;POIS.05.01.00;;310,055.63;284,177.00;241,550.38;241,550.38;Leœny Bank Genów Kostrzyca;6111119546;58-535;Mi³ków;Dolnoœl¹skie;Powiat jeleniogórski;51 Promowanie bioró¿norodnoœci i ochrony przyrody (w tym NATURA 2000);pañstwowa jednostka organizacyjna;00 Nie dotyczy;POIS.05.01.00-00-148/09-01;Nie;2010/08/16;2010/09/02
04-3;04;Projekt;Ochrona ex situ zagro¿onych i chronionych roœlin, dziko rosn¹cych w zachodniej czêœci Polski ;POIS.05.01.00-00-148/09-00;Program Operacyjny Infrastruktura i Œrodowisko;POIS.05.00.00;POIS.05.01.00;;310,055.63;284,177.00;241,550.38;241,550.38;Leœny Bank Genów Kostrzyca;6111119546;58-535;Mi³ków;Dolnoœl¹skie;Powiat jeleniogórski;51 Promowanie bioró¿norodnoœci i ochrony przyrody (w tym NATURA 2000);pañstwowa jednostka organizacyjna;00 Nie dotyczy;POIS.05.01.00-00-148/09-01;Nie;2010/08/16;2010/09/02
08-2;08;Projekt;Ochrona ex situ zagro¿onych i chronionych roœlin, dziko rosn¹cych w zachodniej czêœci Polski ;POIS.05.01.00-00-148/09-00;Program Operacyjny Infrastruktura i Œrodowisko;POIS.05.00.00;POIS.05.01.00;;310,055.63;284,177.00;241,550.38;241,550.38;Leœny Bank Genów Kostrzyca;6111119546;58-535;Mi³ków;Dolnoœl¹skie;Powiat jeleniogórski;51 Promowanie bioró¿norodnoœci i ochrony przyrody (w tym NATURA 2000);pañstwowa jednostka organizacyjna;00 Nie dotyczy;POIS.05.01.00-00-148/09-01;Nie;2010/08/16;2010/09/02
12;;Województwo;Ma³opolskie;;;;;;169691670.92;165357975.63;129067540.99;124893553.96;;;;;;;;;;;;;
