ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oś priorytetowa <Kod>;Działanie <Kod>;Poddziałanie <Kod>;Wartość ogółem;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowość;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu;Projekt zakończony (Wniosek o płatność końcową);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
12;;Województwo;Małopolskie;;;;;;576510691.81;475983383.23;283586675.43;241188669.25;;;;;;;;;;;;;
12-61;12;Powiat;Powiat m. Kraków;;;;;;113216715.44;94188512.48;61162445.7;52128073.96;;;;;;;;;;;;;
12-61-01;12-61;Gmina;M. Kraków;;;;;;113216715.44;94188512.48;61162445.7;52128073.96;;;;;;;;;;;;;
12-61-01-1;12-61-01;Projekt;Usługi doradcze przy przeprowadzaniu emisji publicznej przez TINES S.A.;POIG.03.03.02-00-006/08-00;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.02;510,674.19;370,000.00;185,000.00;157,250.00;TINES SA;6792797186;30-212;KRAKÓW;Małopolskie;Powiat m. Kraków;05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw;spółka akcyjna - małe przedsiębiorstwo;00 Nie dotyczy;POIG.03.03.02-00-006/08-01;Tak;2008/12/29;2009/01/29
24;;Województwo;Śląskie;;;;;;676740713.76;549323571.56;240560268.72;204609104.33;;;;;;;;;;;;;
24-65;24;Powiat;Powiat m. Dąbrowa Górnicza;;;;;;30578080.0;28386963.6;14193481.8;12064459.53;;;;;;;;;;;;;
24-65-01;24-65;Gmina;M. Dąbrowa Górnicza;;;;;;30578080.0;28386963.6;14193481.8;12064459.53;;;;;;;;;;;;;
24-65-01-1;24-65-01;Projekt;Przygotowanie firmy HOTBLOK do pozyskania inwestorów zewnętrznych;POIG.03.03.02-00-021/08-00;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.02;276,940.00;227,000.00;113,500.00;96,475.00;HOTBLOK Spółka Akcyjna;6342463031;42-530;Dąbrowa Górnicza;Śląskie;Powiat m. Dąbrowa Górnicza;05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw;spółka akcyjna - małe przedsiębiorstwo;00 Nie dotyczy;POIG.03.03.02-00-021/08-01;Tak;2008/12/29;2009/01/29
24-13;24;Powiat;Powiat tarnogórski;;;;;;16534631.95;11627796.38;5813898.19;4941813.46;;;;;;;;;;;;;
24-13-03;24-13;Gmina;Radzionków;;;;;;270840.0;195000.0;97500.0;82875.0;;;;;;;;;;;;;
24-13-03-1;24-13-03;Projekt;Wprowadzenie spółki Ekopol Górnośląski Holding S.A. na rynek NewConnect ;POIG.03.03.02-00-028/08-00;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.02;270,840.00;195,000.00;97,500.00;82,875.00;Ekopol Górnośląski Holding S.A;6270012803;41-922;Radzionków;Śląskie;Powiat tarnogórski;05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw;spółka akcyjna - małe przedsiębiorstwo;00 Nie dotyczy;POIG.03.03.02-00-028/08-01;Tak;2008/12/30;2009/01/30
10;;Województwo;Łódzkie;;;;;;296905761.33;240978398.54;155062292.79;132143162.52;;;;;;;;;;;;;
10-61;10;Powiat;Powiat m. Łódź;;;;;;83319451.58;64819118.74;41764588.15;35631619.29;;;;;;;;;;;;;
10-61-01;10-61;Gmina;M. Łódź;;;;;;83319451.58;64819118.74;41764588.15;35631619.29;;;;;;;;;;;;;
10-61-01-1;10-61-01;Projekt;Rozwój działalności badawczo-rozwojowej skutkujący wprowadzeniem nowych ekologicznych produktów;POIG.04.02.00-10-003/08-01;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.02.00;;657,946.00;524,354.54;365,388.17;310,579.94;Zakład Elektroniki Przemysłowej ENIKA Spółka z ograniczoną odpowiedzialnością;9471927681;91-223;Łódź;Łódzkie;Powiat m. Łódź;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka z ograniczoną odpowiedzialnością - małe przedsiębiorstwo;00 Nie dotyczy;POIG.04.02.00-10-003/08-01;Tak;2008/12/16;2009/01/29
10-61-01-2;10-61-01;Projekt;Rozwój działalności badawczo-rozwojowej prowadzonej przez BTL Sp. z o.o.;POIG.04.02.00-10-004/08-01;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.02.00;;646,600.00;530,000.00;371,000.00;315,350.00;BTL Spółka z ograniczoną odpowiedzialnością Zakład Enzymów i Peptonów;7290207522;93-492;Łódź;Łódzkie;Powiat m. Łódź;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka z ograniczoną odpowiedzialnością - małe przedsiębiorstwo;00 Nie dotyczy;POIG.04.02.00-10-004/08-02;Tak;2008/10/20;2009/03/17
02;;Województwo;Dolnośląskie;;;;;;420475702.88;331357612.75;151478833.6;129481014.58;;;;;;;;;;;;;
02-22;02;Powiat;Powiat wołowski;;;;;;31110000.0;20000000.0;10000000.0;8500000.0;;;;;;;;;;;;;
02-22-01;02-22;Gmina;Brzeg Dolny;;;;;;31110000.0;20000000.0;10000000.0;8500000.0;;;;;;;;;;;;;
02-22-01-1;02-22-01;Projekt;Zwiększenie potencjału innowacyjnego i konkurencyjnego Alfa Systems Sp. z o. o. poprzez budowę zakładu produkcji polioli poliestrowych oraz systemów poliuretanowych;POIG.04.04.00-02-002/08-07;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;31,110,000.00;20,000,000.00;10,000,000.00;8,500,000.00;STEPAN POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;9170000133;56-120;Brzeg Dolny;Dolnośląskie;Powiat wołowski;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo;00 Nie dotyczy;;;2008/12/30;2011/05/05
02-16;02;Powiat;Powiat polkowicki;;;;;;131108688.32;98774643.0;39509857.2;33583378.62;;;;;;;;;;;;;
02-16-04;02-16;Gmina;Polkowice;;;;;;131108688.32;98774643.0;39509857.2;33583378.62;;;;;;;;;;;;;
